CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_ZIP|CAND_CITY|CAND_STATE
H0AZ03396|MOAK, STEVEN CARL|REP|2010|AZ|H|O|C00478453|85253|PARADISE VALLEY|AZ
H0AZ03404|SCOTT, BRIAN ALAN|IND|2010|AZ|H|O|C00478735|85053|PHOENIX|AZ
H0AZ03412|BAKER, SCOTT|REP|2010|AZ|H|O|C00480053|85022|PHOENIX|AZ
H0AZ03420|CHARLES, ROBERT LINCOLN|REP|2010|AZ|H|O|C00480426|85068|PHOENIX|AZ
H0AZ03438|CLARK, LEONARD|GRE|2010|AZ|H|O||85027|PHOENIX|AZ
H0AZ03446|ADAIR, CLAY|LIB|2010|AZ|H|C||85053|PHOENIX |AZ
H0AZ04485|HILL, BRIAN|IND|2010|AZ|H|C|C00472068|85005|PHOENIX|AZ
H0AZ04493|CONTRERAS, JANET L|REP|2010|AZ|H|C|C00474007|85041|PHOENIX|AZ
H0AZ04501|PENALOSA, JOE|REP|2010|AZ|H|C|C00485995|85260|SCOTTSDALE|AZ
H0AZ05078|WARD, JIM|REP|2010|AZ|H|C|C00462432|85255|SCOTTSDALE|AZ
H0AZ05086|WNUCK, ERIC|REP|2010|AZ|H|C|C00468694|85260|SCOTTSDALE|AZ
H0AZ05094|SMITH, JEFFREY W|REP|2010|AZ|H|C|C00471730|85234|GILBERT|AZ
H0AZ05102|SALVINO, CHRIS|REP|2010|AZ|H|C|C00471912|85255|SCOTTSDALE|AZ
H0AZ05110|SPINKS, MARK VINCENT|REP|2010|AZ|H|C|C00474866|85045|PHOENIX|AZ
H0AZ05128|HILL, JONATHON RYAN|REP|2010|AZ|H|C|C00481028|85281|TEMPE|AZ
H0AZ05136|COONS, NICK|LIB|2010|AZ|H|C||85285|TEMPE|AZ
H0AZ05144|BLACKMAN, RYAN|GRE|2010|AZ|H|C||85257|SCOTTSDALE|AZ
H0AZ06043|KELSEY, EASTON CLINT|REP|2010|AZ|H|C|C00472746|85297|GILBERT|AZ
H0AZ06050|TAPP, DARELL|LIB|2010|AZ|H|C||85296|GILBERT|AZ
H0AZ07017|MCCLUNG, RUTH CRAWFORD|REP|2010|AZ|H|C|C00462309|85745|TUCSON|AZ
H0AZ07025|MYERS, TERRY LON|REP|2010|AZ|H|C|C00481069|85745|TUCSON|AZ
H0AZ07033|FLOWERS, CHRISTOPHER JOHN|REP|2010|AZ|H|C||85353|TOLLESON|AZ
H0AZ07041|SWEENEY, JOSEPH DUDLEY|REP|2010|AZ|H|C||85705|TUCSON|AZ
H0AZ07058|WILSON, ROBERT|REP|2010|AZ|H|C||85138|MARICOPA|AZ
H0AZ07066|IBARRA, ANDREW|LIB|2010|AZ|H|C||85648|RIO RICO|AZ
H0AZ07074|KEANE, GEORGE|LIB|2010|AZ|H|C||85757|TUCSON|AZ
H0AZ08015|KELLY, JESSE|REP|2010|AZ|H|C|C00460808|85743|TUCSON|AZ
H0AZ08023|GOSS, VINCENT ANDREW|REP|2010|AZ|H|C|C00461780|85635|SIERRA VISTA|AZ
H0AZ08031|MILLER, BRIAN ALLAN|REP|2010|AZ|H|C|C00462721|85708|TUCSON|AZ
H0AZ08049|CARLSON, THOMAS A JR|REP|2010|AZ|H|C|C00470732|85742|TUCSON|AZ
H0AZ08056|PATON, JONATHAN|REP|2010|AZ|H|C|C00474270|85704|TUCSON|AZ
H0AZ08064|STOLTZ, STEVEN|LIB|2010|AZ|H|C||85739|TUCSON|AZ
H0CA00066|FINK, MARI HAMLIN|REP|2010|CA|H|C|C00480913|92106|SAN DIEGO|CA
H0CA00074|SHAH, JAYENDRA ARVINDLAL DR|DEM|2010|CA|H|C|C00476937|90803|LONG BEACH|CA
H0CA00082|PORTANTINO, ANTHONY|DEM|2010|CA|H|C|C00479188|90071|LOS ANGELES|CA
H0CA00090|RAY, EUGENE|REP|2010|CA|H|C|C00479287||VACAVILLE|CA
H0CA00108|COTTON, STANLEY S|DEM|2010|CA|H|C|C00480624|92270|RANCHO MIRAGE|CA
H0CA01148|HANKS, LOREN L|REP|2010|CA|H|C|C00481440|94536|TRAVIS AFB|CA
H0CA01155|FRANCK, RANDY|REP|2010|CA|H|C||94558|NAPA|CA
H0CA01163|RODRIGUES, MIKE|LIB|2010|CA|H|C||94558|NAPA|CA
H0CA02120|STIGLICH, PETER VINCENT|REP|2010|CA|H|C|C00468454|96022|COTTONWOOD|CA
H0CA02138|REED, JAMES E|DEM|2010|CA|H|C|C00473165|96028|FALL RIVER MILLS|CA
H0CA02146|JENSEN, MARK A.|W|2010|CA|H|C||95938|DURHAM |CA
H0CA03078|BERA, AMERISH|DEM|2010|CA|H|C|C00461061|95758|ELK GROVE|CA
H0CA03086|DAVIS, GARY|DEM|2010|CA|H|C|C00462101|95811|SACRAMENTO|CA
H0CA03094|SLATON, BILL|DEM|2010|CA|H|C|C00462812|95814|SACRAMENTO|CA
H0CA03102|LEIDECKER, JERRY L|AIP|2010|CA|H|C||95626|ELVERTA|CA
H0CA03110|FAVIS, STEVE DONALD|IND|2010|CA|H|C|C00483008|95608|CARMICHAEL|CA
H0CA04134|CURTIS, CLINT|DEM|2010|CA|H|C|C00475566|95670|RANCHO CORDOVA|CA
H0CA04142|BABICH, MICHAEL|REP|2010|CA|H|C|C00478461|95603|AUBURN|CA
H0CA04159|EMERY, BENJAMIN 'BEN'|GRE|2010|CA|H|C|C00490581|95959|NEVADA CITY|CA
H0CA05073|SMITT, ERIK|REP|2010|CA|H|C|C00478651|95835|SACRAMENTO|CA
H0CA05081|FRINK, GERALD ALLEN|PAF|2010|CA|H|C||95814|SACRAMENTO |CA
H0CA05099|LACY , TONY|W|2010|CA|H|C||95827|SACRAMENTO |CA
H0CA06089|ROMANOWSKY, PETER CHRISTIAN|REP|2010|CA|H|C||94965|SAUSACITO|CA
H0CA06097|JUDD, JAMES O JR.|REP|2010|CA|H|C|C00474957|96106|CLIO|CA
H0CA06105|SMOLLEN, JOEL|LIB|2010|CA|H|C||94901|SAN RAFAEL|CA
H0CA06113|RUYLE, EUGENE E|PAF|2010|CA|H|C||94609|OAKLAND|CA
H0CA06121|ROBERTS, DANIEL W|AIP|2010|CA|H|C|C00483792|94920|TIBURON|CA
H0CA07103|TUBBS, RICHARD STEPHEN II|REP|2010|CA|H|C|C00479741|95687|VACAVILLE|CA
H0CA07111|FITZGERALD, JOHN|DEM|2010|CA|H|C||94549|LAFAYETTE|CA
H0CA08069|DENNIS, JOHN|REP|2010|CA|H|C|C00465914|94123|SAN FRANCISCO|CA
H0CA08077|SHIELDS, SUMMER J|W|2010|CA|H|C|C00471680|94107|SAN FRANCISCO|CA
H0CA08085|LA RIVA, GLORIA E|PAF|2010|CA|H|C||94110|SAN FRANCISCO|CA
H0CA09075|HASIMOTO, GERALD|REP|2010|CA|H|C||94701|BERKELEY|CA
H0CA09083|HELLER, DAVE|GRE|2010|CA|H|C||94702|BERKELEY|CA
H0CA09091|ALLEN, LARRY|PAF|2010|CA|H|C||94610|OAKLAND|CA
H0CA10073|DESAULNIER, MARK|DEM|2010|CA|H|C|C00460162|94524|CONCORD|CA
H0CA10081|HAMPTON, ADRIEL|DEM|2010|CA|H|C|C00460527|94568|DUBLIN|CA
H0CA10099|BUCHANAN, JOAN|DEM|2010|CA|H|C|C00461103|95814|SACRAMENTO|CA
H0CA10107|WOODS, ANTHONY MR|DEM|2009|CA|H|C|C00461087|94533|FAIRFIELD|CA
H0CA10115|VANGUNDY, GINO W|IND|2009|CA|H|C|C00461392|94533|FAIRFIELD|CA
H0CA10123|HARMER, DAVID|REP|2010|CA|H|C|C00461657|94582|SAN RAMON|CA
H0CA10131|ATTWOOD, TIFFANY|DEM|2010|CA|H|C|C00461947|94526|DANVILLE|CA
H0CA10149|GARAMENDI, JOHN|DEM|2010|CA|H|I|C00462697|90807|LONG BEACH|CA
H0CA10156|BUNCH, CHRISTOPHER N|REP|2009|CA|H|C|C00463513|94533|FAIRFIELD|CA
H0CA10164|CLOWARD, JEREMY|GRE|2009|CA|H|C|C00463224|94523|PLEASANT HILL|CA
H0CA10172|PETERSON, DAVID|REP|2010|CA|H|C|C00463257|94598|WALNUT CREEK|CA
H0CA10180|CLIFT, GARY WILLIAM|REP|2010|CA|H|C|C00483131|95620|DIXON|CA
H0CA10198|LOOS, MARK ALAN|REP|2009|CA|H|C|C00465005|94550|LIVERMORE|CA
H0CA10206|TOTH, JOHN RICHARD|REP|2010|CA|H|C|C00464636|94520|CONCORD|CA
H0CA10214|DENHAM, JEROME 'JERRY'|AIP|2010|CA|H|C||94597|WALNUT CREEK|CA
H0CA10222|MCILROY, MARY|PAF|2009|CA|H|O||94530|EL CERRITO|CA
H0CA10230|BURKE, BUDDY|REP|2010|CA|H|C|C00479717|94597|WALNUT CREEK|CA
H0CA11022|LANTOS, TOM|DEM|2008|CA|H|C|C00112250|94070|San Carlos|CA
H0CA11295|DEL ARROZ, JONATHAN MR.|REP|2010|CA|H|C|C00460733|94526|DANVILLE|CA
H0CA11303|GOEHRING, BRAD|REP|2010|CA|H|C|C00463059|95220|ACAMPO|CA
H0CA11311|PEGRAM, LARRY|REP|2010|CA|H|C|C00465575|95624|ELK GROVE|CA
H0CA11329|BEADLES, ROBERT|REP|2010|CA|H|C|C00465732|95240|LODI|CA
H0CA11337|AMADOR, ANTONIO C|REP|2010|CA|H|C|C00466029|92688|RCHO STA MARGARITA|CA
H0CA11345|TAKADA, JEFFREY DAVID|REP|2010|CA|H|C|C00466979|95337|MANTECA|CA
H0CA11352|EMKEN, ELIZABETH|REP|2010|CA|H|C|C00468595|94526|DANVILLE|CA
H0CA11360|CHRISTENSEN, DAVID|AIP|2010|CA|H|C||95376|TRACY|CA
H0CA12087|WILLIAMS, MARK PAUL|LIB|2010|CA|H|C||94070|SAN CARLOS|CA
H0CA12095|PARKER, MICHAEL DOUGLAS|REP|2010|CA|H|C||94002|BELMONT|CA
H0CA12103|HARDING, JOSEPH MICHAEL|NNE|2010|CA|H|C|C00490425|94404|FOSTER CITY|CA
H0CA13085|GARCIA, LUIS 'COACH'|REP|2010|CA|H|C|C00477562|94538|FREMONT|CA
H0CA13093|JELINCIC, JUSTIN|DEM|2010|CA|H|C|C00481564|94577|SAN LEANDRO|CA
H0CA13101|BAKER, FOREST|REP|2010|CA|H|C||95117|SAN JOSE|CA
H0CA13119|PAREJA, CHRISTOPHER JAMES|W|2010|CA|H|C|C00485961|94588|PLEASANTON|CA
H0CA14042|DOOLITTLE, JOHN|REP|2008|CA|H|C|C00242768|20515|WASHINGTON|DC
H0CA14075|CHAPMAN, DAVE|REP|2010|CA|H|C||94302|PALO ALTO|CA
H0CA14083|LAZAGA, PAUL|LIB|2010|CA|H|C||95005|BEN LOMOND|CA
H0CA15148|HONDA, MIKE|DEM|2010|CA|H|I|C00351379|95155|San Jose|CA
H0CA15171|SIMITIAN, S. JOSEPH|DEM|2010|CA|H|C|C00458117|95124|SAN JOSE|CA
H0CA15189|BARICH, DON|REP|2010|CA|H|C|C00471763|95129|SAN JOSE|CA
H0CA15197|GORDON, KEVIN PATRICK|REP|2010|CA|H|C|C00474874|95054|SANTA CLARA|CA
H0CA15205|KIRKLAND, SCOTT SPENCER|REP|2010|CA|H|C|C00476770|95128|SAN JOSE|CA
H0CA16088|HOWELL, ROBERT PAUL|REP|2010|CA|H|C|C00473843|95120|SAN JOSE|CA
H0CA16096|GONZALEZ, EDWARD M|LIB|2010|CA|H|C|C00473983|95125|SAN JOSE|CA
H0CA16104|SAHAGUN, DANIEL|REP|2010|CA|H|C|C00484139|95131|SAN JOSE|CA
H0CA17110|ARNOLD, GARY RICHARD|REP|2010|CA|H|C|C00479485|95010|CAPITOLA|CA
H0CA17128|LARKIN, MARY VIRGINIA|LIB|2010|CA|H|C|C00480723|93955|SEASIDE|CA
H0CA17144|ANDRESEN, PETE|REP|2010|CA|H|C||93902|SALINAS|CA
H0CA17151|PETERSEN, ERIC|GRE|2010|CA|H|C||93902|SALINAS|CA
H0CA17169|CHANDLER, WILLIAM THARON|IND|2010|CA|H|C|C00481077|95010|CAPITOLA|CA
H0CA17177|LE BARRE, MICHAEL ROBERT|REP|2010|CA|H|C||93930|KING CITY|CA
H0CA17185|KABAT, RONALD P.|W|2010|CA|H|C||93921|CARMEL-BY-THE-SEA|CA
H0CA18050|BERRYHILL, MICHAEL CLARE SR|REP|2010|CA|H|C|C00466508|95307|CERES|CA
H0CA19124|MARSDEN, LES|DEM|2010|CA|H|O|C00459917|95338|MARIPOSA|CA
H0CA19132|GOODWIN, LORAINE|DEM|2010|CA|H|O|C00464701|93637|MADERA|CA
H0CA19140|PATTERSON, NORWOOD JAMES JR|REP|2010|CA|H|O|C00472852|93711|FRESNO|CA
H0CA19173|DENHAM, JEFF|REP|2010|CA|H|O|C00473272|95381|TURLOCK|CA
H0CA19181|WESTERLUND, LARRY|REP|2010|CA|H|O|C00474262|93710|FRESNO|CA
H0CA19199|ESTRADA, JOHN ANTHONY|DEM|2010|CA|H|O|C00482083|93710|FRESNO|CA
H0CA20080|MILLER, JOSHUA THOMAS COULSTON|REP|2010|CA|H|C|C00459727|93277|HANFORD|CA
H0CA20098|VIDAK, JAMES ANDREW|REP|2010|CA|H|C|C00469312|93230|VISALIA|CA
H0CA20106|QUINTANAR, SERAFIN|REP|2010|CA|H|C|C00474437|93727|FRESNO|CA
H0CA20114|LAKE, RICHARD DAVID GEORGE|REP|2010|CA|H|C|C00473595|93720|FRESNO|CA
H0CA21096|MACARENO, RUBEN|DEM|2010|CA|H|C||93290|VISALIA|CA
H0CA22086|UEBERSAX, JOHN|W|2010|CA|H|C||93446|PASO ROBLES |CA
H0CA23043|KALEMKARIAN, TIMOTHY CHARLES|REP|2010|CA|H|C|C00447011|91359|WESTLAKE VILLAGE|CA
H0CA23092|STOCKDALE, DAVID R|REP|2010|CA|H|C|C00471102|93455|SANTA MARIA|CA
H0CA23100|DAVIDSON, JOHN|REP|2010|CA|H|C|C00473124|91360|THOUSAND OAKS|CA
H0CA23118|WATSON, THOMAS C|REP|2010|CA|H|C|C00478164|93067|SUMMERLAND|CA
H0CA23126|VANDEVENTER, CLARK|REP|2010|CA|H|C|C00477869|93455|SANTA MARIA|CA
H0CA23134|MILLER, CAROLE LEE|REP|2010|CA|H|C||93449|PISMO BEACH|CA
H0CA23142|STAFFORD, DARRELL M|LIB|2010|CA|H|C||93420|ARROYO GRANDE|CA
H0CA23159|HAGER, JOHN VICTOR|IND|2010|CA|H|C|C00486902|93101|SANTA BARBARA|CA
H0CA24108|STERN, SHAWN|DEM|2010|CA|H|C|C00459446|91502|BURBANK|CA
H0CA24116|ALLISON, TIMOTHY JAMES|DEM|2010|CA|H|C|C00464347|93140|SANTA BARBARA|CA
H0CA24124|PANEC, MARIE|DEM|2010|CA|H|C|C00466136|91359|THOUSAND OAKS|CA
H0CA24132|AGUIAR, LANCE|UNK|2010|CA|H|C|C00485359|93003|VENTURA|CA
H0CA26087|MILLER, DAVID LAWRENCE|IND|2010|CA|H|C|C00479956|91741|GLENDORA|CA
H0CA26095|BUTLER, MARK|REP|2010|CA|H|C||91701|RANCHO CUCAMONGA|CA
H0CA26103|WEISSBUNCH, RANDALL|LIB|2010|CA|H|C||91006|ARCADIA|CA
H0CA26111|BROWN, ROBERT|NNE|2010|CA|H|C|C00485318|91740|GLENDORA|CA
H0CA27085|SCHIFF, ADAM|DEM|2010|CA|H|I|C00343871|90017|Los Angeles|CA
H0CA27101|REED, MARK STEVEN SR|REP|2010|CA|H|C|C00462317|91040|SHADOW HILLS|CA
H0CA27119|DARIAN, BRUCE HARRY|FED|2010|CA|H|C|C00477307|90254|HERMOSA BEACH|CA
H0CA28091|FROYD, ERIK MERLIN|REP|2010|CA|H|C|C00469361|91510|BURBANK|CA
H0CA28109|WORMAN, JENNY|REP|2010|CA|H|C|C00474221|90069|WEST HOLLYWOOD|CA
H0CA28117|VALDEZ, RICHARD A|DEM|2010|CA|H|C|C00481895|91344|GRANADA HILLS|CA
H0CA28125|RODRIQUEZ, CARLOS A|LIB|2010|CA|H|C||91340|SAN FERNANDO|CA
H0CA29081|LARGE, MORTON R|REP|2010|CA|H|C|C00470989|91504|BURBANK|CA
H0CA29099|COLBERT, JOHN|REP|2010|CA|H|C|C00473850|90017|LOS ANGELES|CA
H0CA29107|CUSHING, WILLIAM  (BILL) P|LIB|2010|CA|H|C|C00480079||GLENDALE|CA
H0CA30063|DAVID, ARI|REP|2010|CA|H|C|C00464164|90265|MALIBU|CA
H0CA30071|FLUTIE, ROBERT A MR|REP|2010|CA|H|C|C00469734|90017|LOS ANGELES|CA
H0CA30089|BENNING, DAVID|REP|2010|CA|H|C|C00471128|91367|WOODLAND HILLS|CA
H0CA30097|KOLSKI, CHRIS|REP|2010|CA|H|C|C00478040|91304|WEST HILLS|CA
H0CA30105|WILKERSON, CHARLES EDWARD|REP|2010|CA|H|C|C00478578|90245|EL SEGUNDO|CA
H0CA30113|MILLER, ERICH D|LIB|2010|CA|H|C|C00484717|91344|GRANADA HILLS|CA
H0CA30121|CASTALDO, RICHARD R|PAF|2010|CA|H|C||90004|LOS ANGELES|CA
H0CA31087|SOLIS, HILDA|DEM|2008|CA|H||C00346296|91731|El Monte|CA
H0CA31111|SMITH, STEPHEN CARLTON|REP|2010|CA|H|C|C00478859|90041|LOS ANGELES|CA
H0CA32093|HENTSCHEL, NOEL IRWIN|REP|2001|CA|H|C|C00365049|90077|LOS ANGELES|CA
H0CA32101|CHU, JUDY|DEM|2010|CA|H|I|C00458125|90017|Los Angeles|CA
H0CA32119|ROMERO, GLORIA||2010|CA|H|C|C00458174|90032|LOS ANGELES|CA
H0CA32127|CEDILLO, GILBERT|DEM|2009|CA|H|O|C00458331|91502|BURBANK|CA
H0CA32135|HERNANDEZ, TERESA|REP|2009|CA|H|O|C00458752|91733|SOUTH EL MONTE|CA
H0CA32143|PLEITZ, EMANUEL|DEM|2009|CA|H|O|C00458851|90032|LOS ANGELES|CA
H0CA32150|TRUAX, DAVID ALLEN|REP|2009|CA|H|O|C00459537|91724|COVINA|CA
