CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_ZIP|CAND_CITY|CAND_STATE
H0AK00097|COX, JOHN R.|REP|2010|AK|H|C||99556|ANCHOR POINT|AK
H0AK01038|FISHER, SHELDON ALLRED|REP|2010|AK|H|C|C00474783|99517|ANCHORAGE|AK
H0AL00016|BOZEMAN, MARTHA RENEE|UNK|2010|AL|H|O|C00464040|35201|BIRMINGHAM|AL
H0AL01030|GOUNARES, PETER HUNTER|REP|2010|AL|H|C|C00459495|36561|ORANGE BEACH|AL
H0AL01048|WALTER, DAVID MARSH|CON|2010|AL|H|C|C00485938|36535|FOLEY|AL
H0AL02087|ROBY, MARTHA|REP|2010|AL|H|C|C00462143|36106|MONTGOMERY|AL
H0AL02095|JOHN, ROBERT E JR|IND|2010|AL|H|C||36054|MILLBROOK|AL
H0AL02103|BARBER, RICK JOE|REP|2010|AL|H|C|C00471938|36117|MONTGOMERY|AL
H0AL02111|BELL, STEPHANIE WOLFE|REP|2010|AL|H|C|C00477638|36106|MONTGOMERY|AL
H0AL02129|MCKINNEY, JOHN|REP|2010|AL|H|C||36111|MONTGOMERY|AL
H0AL03184|SEGREST, STEPHEN GRAHAM|DEM|2010|AL|H|C|C00481275|36106|MONTGOMERY|AL
H0AL05049|"CRAMER, ROBERT E ""BUD"" JR"|DEM|2008|AL|H||C00239038|35804|HUNTSVILLE|AL
H0AL05155|PHILLIP, LESTER S|REP|2010|AL|H|C|C00462481|35758|MADISON|AL
H0AL05163|BROOKS, MO|REP|2010|AL|H|C|C00464149|35802|HUNTSVILLE|AL
H0AL05171|HOWIE, MITCHELL JOHN|DEM|2010|AL|H|C|C00476135|35801|HUNTSVILLE|AL
H0AL05189|SHEPARD, TAZEWELL|DEM|2010|AL|H|C|C00477026|35801|HUNTSVILLE|AL
H0AL05197|RABY, STEPHEN WALKER|DEM|2010|AL|H|C|C00478297|35773|TOREY|AL
H0AL06088|COOKE, STANLEY KYLE|REP|2010|AL|H|C|C00464222|35091|KIMBERLY|AL
H0AL06096|LAMBERT, PAUL ANTHONY|REP|2010|AL|H|C|C00471466|35114|MAYLELE|AL
H0AL07060|DAVIS, ARTUR GENESTRE|DEM|2010|AL|H|I|C00347872|35201|BIRMINGHAM|AL
H0AL07086|SEWELL, TERRI A.|DEM|2010|AL|H|O|C00458976|35201|BIRMINGHAM|AL
H0AL07094|HILLIARD, EARL FREDERICK JR|DEM|2010|AL|H|O|C00460410|35202|BIRMINGHAM|AL
H0AL07102|SMOOT, SHEILA|DEM|2010|AL|H|O|C00461038|35201|BIRMINGHAM|AL
H0AL07110|PERKINS, JAMES JR|DEM|2010|AL|H|O|C00463158|36703|SELMA|AL
H0AL07128|MOKOLO, PATRICIA EVANS|DEM|2010|AL|H|O|C00469338|35405|TUSCALOOSA|AL
H0AL07136|LANKSTER, FRANK|DEM|2010|AL|H|O|C00467357|36748|LINDEN|AL
H0AL07144|WALLER, MICHELE|REP|2010|AL|H|O|C00471235|35202|BIRMINGHAM|AL
H0AL07169|HENDRICKSON, CAROL FLORRIE|REP|2010|AL|H|O|C00481374|35404|TUSCALOOSA|AL
H0AL07177|CHAMBERLAIN, DONALD NORWOOD|REP|2010|AL|H|O|C00482059|36701|SELMA|AL
H0AL07185|SALTER, CHRIS|REP|2010|AL|H|O|C00482091|35206|BIRMINGHAM|AL
H0AR01083|CRAWFORD, ERIC ALAN RICK|REP|2010|AR|H|O|C00462374|72404|JONESBORO|AR
H0AR01091|GREGORY, JAMES CHRISTOPHER|DEM|2010|AR|H|O|C00472126|72315|BLYTHEVILLE|AR
H0AR01109|CAUSEY, CHAD|DEM|2010|AR|H|O|C00475384|72401|JONESBORO|AR
H0AR01117|WOOLRIDGE, TYMOTHE (TIM) LYNN|DEM|2010|AR|H|O|C00476432|72450|PARAGOULD|AR
H0AR01125|SMITH, PRINCELLA D|REP|2010|AR|H|O|C00480905|72396|WYNNE|AR
H0AR01133|COOK, DAVID RAY|DEM|2010|AR|H|O|C00477554|72482|WILLIFORD|AR
H0AR01141|BRYLES, STEVE MARK|DEM|2010|AR|H|O|C00477570|72316|BLYTHEVILLE|AR
H0AR01158|HIGGINS, MICKEY VERNON|UNK|2010|AR|H|O||72450|PARAGOULD|AR
H0AR01166|GREEN, TERRY GLENN|DEM|2010|AR|H|O|C00481515|72653|MOUNTAIN HOME|AR
H0AR01174|PONDER, BEN|DEM|2010|AR|H|O|C00478487|72654|MOUNTAIN HOME|AR
H0AR01182|ADLER, KEN|GRE|2010|AR|H|O||72503|BATESVILLE|AR
H0AR02099|MEEKS, DAVID MARK EMERSON|REP|2010|AR|H|O|C00463752|72034|CONWAY|AR
H0AR02107|GRIFFIN, JOHN TIMOTHY|REP|2010|AR|H|O|C00468116|72217|LITTLE ROCK|AR
H0AR02115|WALLACE, SCOTT|REP|2010|AR|H|O|C00468934|72223|LITTLE ROCK|AR
H0AR02123|WILLS, ROBERT DALE JR|DEM|2010|AR|H|O|C00474700|72034|CONWAY|AR
H0AR02131|ELLIOTT, JOYCE ANN|DEM|2010|AR|H|O|C00475764|72204|LITTLE ROCK|AR
H0AR02149|ADAMS, JOHN|DEM|2010|AR|H|O|C00477380|72201|LITTLE ROCK|AR
H0AR02156|BOLING, DAVID ALAN|DEM|2010|AR|H|O|C00477315|72225|LITTLE ROCK|AR
H0AR02164|KENNEDY, PATRICK|DEM|2010|AR|H|O|C00478628|72202|LITTLE ROCK|AR
H0AR02172|LEVI, LANCE|IND|2010|AR|H|O||72225|LITTLE ROCK|AR
H0AR02180|KENNEDY, LEWIS|GRE|2010|AR|H|O||72034|CONWAY|AR
H0AR03022|SKOCH, BERNARD KURT 'BERNIE'|REP|2010|AR|H|O||72727|ELKINS|AR
H0AR03030|WHITAKER, DAVID JEFFREY|DEM|2010|AR|H|O|C00468033|72702|FAYETTEVILLE|AR
H0AR03048|MADDOX, KURT E|REP|2010|AR|H|O|C00476465|72736|GRAVETTE|AR
H0AR03055|WOMACK, STEVE|REP|2010|AR|H|O|C00477745|72756|ROGERS|AR
H0AR03063|BLEDSOE, CECILE H|REP|2010|AR|H|O|C00478172|72756|ROGERS|AR
H0AR03071|MOORE, MIKE C|REP|2010|AR|H|O|C00477901|72601|HARRISON|AR
H0AR03089|LOWRY, STEVE MR.|REP|2010|AR|H|O|C00480095|72703|FAYETTEVILLE|AP
H0AR03097|MATAYO, DOUG|REP|2010|AR|H|O|C00478727|72762|SPRINGDALE|AR
H0AR04038|ROSS, MICHAEL AVERY|DEM|2010|AR|H|I|C00345710|71857|Prescott|AR
H0AR04061|GALLAS, GLENN EDWARD|REP|2010|AR|H|C|C00478222|71913|HOT SPRINGS|AR
H0AR04079|RANKIN, BETH ANNE|REP|2010|AR|H|C|C00478636|71753|MAGNOLIA|AR
H0AS00018|FALEOMAVAEGA, ENI|DEM|2010|AS|H|I|C00231092|20026|WASHINGTON|DC
H0AZ01184|FLAKE, JEFF MR.|REP|2010|AZ|H|I|C00347260|85205|Mesa|AZ
H0AZ01259|GOSAR, PAUL ANTHONY ANTHONY|REP|2010|AZ|H|C|C00461806|86004|FLAGSTAFF|AZ
H0AZ01267|BEAUCHAMP, BRADLEY DON|REP|2010|AZ|H|C|C00463885|85502|GLOBE |AZ
H0AZ01275|BOWERS, RUSSELL WESLEY|REP|2010|AZ|H|C|C00467506|85173|SUPERIOR|AZ
H0AZ01283|MEHTA, STEVE|REP|2010|AZ|H|C|C00474940|85901|SHOW LOW|AZ
H0AZ01291|JARACZEWSKI, JOE|REP|2010|AZ|H|C|C00475855|86326|COTTONWOOD|AZ
H0AZ01309|ZALESKI, THOMAS J|REP|2010|AZ|H|C|C00475871|86336|SEDONA|AZ
H0AZ01317|JENSEN, JON RICHARD|REP|2010|AZ|H|C|C00476424|86314|PRESCOTT VALLEY|AZ
H0AZ01325|TOBIN, ANDREW (ANDY)|REP|2010|AZ|H|C||86334|PAULDEN|AZ
H0AZ01333|GRESSLEY, FORREST DAYL|REP|2010|AZ|H|C|C00481267|85296|GILBERT|AZ
H0AZ01341|PATTI, NICOLE|LIB|2010|AZ|H|C||85248|CHANDLER|AZ
H0AZ02141|BLACK, CHARLES ROLAND|REP|2010|AZ|H|C|C00474528|86401|KINGMAN|AZ
H0AZ02158|SCHALLENBERGER, STEVEN CRAIG|DEM|2010|AZ|H|C||85304|GLENDALE|AZ
H0AZ03305|HULBURD, JON|DEM|2010|AZ|H|O|C00468686|85018|PHOENIX|AZ
H0AZ03313|WARING, JAMES F|REP|2010|AZ|H|O|C00474197|85032|PHOENIX|AZ
H0AZ03321|PARKER, VERNON|REP|2010|AZ|H|O|C00474916|85253|PARADISE VALLEY|AZ
H0AZ03339|GORMAN, PAMELA DIANE|REP|2010|AZ|H|O|C00474056|85086|ANTHEM|AZ
H0AZ03347|CRUMP, SAMUEL TURRENTINE SR|REP|2010|AZ|H|O|C00475442|85086|ANTHEM|AZ
H0AZ03354|MORRIS, PAULINA VASQUEZ|REP|2010|AZ|H|O|C00475806|85001|PHOENIX|AZ
H0AZ03362|QUAYLE, BEN|REP|2010|AZ|H|O|C00475863|85253|PARADISE VALLEY|AZ
H0AZ03370|HULL, LEANN|REP|2010|AZ|H|O|C00476515|85086|PHOENIX|AZ
H0AZ03388|BRANCH, ROBERT ALLEN|REP|2010|AZ|H|O|C00478156|85053|PHOENIX|AZ
