CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_LAT|CAND_LONG|CAND_ZIP|CAND_CITY|CAND_STATE
H4NJ12081|SPADEA, BILL|REP|2004|NJ|H|C|C00393926|40.33517|-74.04059|07739|LITTLE SILVER|NJ
H4NJ12099|AFRAN, BRUCE IRA|REP|2004|NJ|H|C|C00397588|40.3244262|-74.6770994|08540|PRINCETON|NJ
H4NJ13022|SAXTON, H. J|REP|2006|NJ|H|I|C00197699|39.991562|-74.79747|08060|Mt. Holly|NJ
H4NJ13154|FULOP, STEVEN MICHAEL|DEM|2004|NJ|H|C|C00402040|40.729075615384616|-74.06528215384614|07302|JERSEY CITY|NJ
H4NM02056|KING, GARY KENNETH|DEM|2006|NM|H|C|C00393702|32.375172|-104.29251550000001|88221|CARLSBAD|NM
H4NM03062|TUCKER, GREGORY MCDOWELL|REP|2004|NM|H|C|C00397950|36.72854833333333|-108.13551666666666||FARMINGTON|NM
H4NV01112|MICKELSON, RUSS|REP|2004|NV|H|C|C00408245|36.06223526153846|-115.10904812307692|89193|LAS VEGAS|NV
H4NV01138|DUENSING, JIM|LIB|2006|NV|H|C||36.06223526153846|-115.10904812307692|89193|LAS VEGAS|NV
H4NV02102|BENNETT, DAVID JEROME|DEM|2004|NV|H|C|C00396572|36.3144055|-115.99814599999999|89048|PAHRUMP|NV
H4NV03019|GALLAGHER, TOM|DEM|2004|NV|H|C|C00398321|36.001963333333336|-115.01414688888889|89052|HENDERSON|NV
H4NV03050|VON FELDEN, RON|DEM|2004|NV|H|C|C00401422|36.001963333333336|-115.01414688888889|89074|HENDERSON|NV
H4NV03076|SILVESTRI, JOSEPH P.|LIB|2006|NV|H|C||36.06223526153846|-115.10904812307692|89193|LAS VEGAS|NV
H4NY00032|MCADAMS, KEVIN|DEM|2004|NY|H|C|C00389569|40.97036383333334|-73.84872266666666|10704|YONKERS|NY
H4NY01089|MANGER, WILLIAM|REP|2004|NY|H|C|C00393983|40.913337|-72.522109|11969|SOUTHAMPTON|NY
H4NY02053|HOFFMANN, RICHARD|REP|2004|NY|H|C|C00406264|40.814756|-73.2007295|11788|HAUPPAUGE|NY
H4NY03069|MATHIES, BLAIR|DEM|2004|NY|H|C|C00401000|40.687649|-73.32549|11702|BABYLON|NY
H4NY04059|GARNER, JAMES A|REP|2004|NY|H|C|C00392506|40.73726166666667|-73.60698466666666|11550|HEMPSTEAD|NY
H4NY07011|ACKERMAN, GARY L|DEM|2006|NY|H|I|C00165241|40.673391571428574|-73.83009421428572|11432|Jamaica|NY
H4NY07052|CINQUEMANI, JOSEPH|REP|2004|NY|H|C|C00392472|40.84928938461538|-73.87575261538461||BRONX|NY
H4NY07060|GRAVES, STEPHEN ELLIOTT|REP|2004|NY|H|C|C00397232|40.71065754545455|-73.84751118181818|11358|FLUSHING|NY
H4NY07094|COLEMAN, DENNIS|DEM|2004|NY|H|C|C00407247|40.84928938461538|-73.87575261538461|10473|BRONX|NY
H4NY08043|HORT, PETER|REP|2004|NY|H|C|C00387167|40.76633930120482|-73.97691936746988|10013|NEW YORK|NY
H4NY11104|BOYLAND, TRACY L|DEM|2004|NY|H|C|C00390849|40.65091198076924|-73.95300596153847|11233|BROOKLYN|NY
H4NY11112|ANDREWS, EMMANUEL CARL|DEM|2006|NY|H|O|C00393090|40.65091198076924|-73.95300596153847|11213|BROOKLYN|NY
H4NY11120|PEARSE, GABRIEL ADETOKUNBO|DEM|2004|NY|H|C|C00394148|40.65091198076924|-73.95300596153847|11226|BROOKLYN|NY
H4NY11138|CLARKE, YVETTE|DEM|2006|NY|H|O|C00415331||||BROOKLYN|
H4NY11161|PERRY, NOAH|DEM|2006|NY|H|O|C00407916|40.65091198076924|-73.95300596153847|11210|BROOKLYN|NY
H4NY12045|RODRIGUEZ, PAUL|REP|2004|NY|H|C|C00403642|40.65091198076924|-73.95300596153847|11232|BROOKLYN|NY
H4NY13043|BARBARO, FRANK|DEM|2004|NY|H|C|C00396986|40.65091198076924|-73.95300596153847|11223|BROOKLYN|NY
H4NY14041|MILLARD, CHARLES|REP|1994|NY|H|C|C00292227|40.76633930120482|-73.97691936746988|10022|NEW YORK|NY
H4NY15071|POWELL, ADAM CLAYTON IV|DEM|2004|NY|H|C|C00396697|40.76633930120482|-73.97691936746988|10035|NEW YORK|NY
H4NY15089|MORRISEY, KEISHA C|REP|2004|NY|H|C|C00402529|40.76633930120482|-73.97691936746988|10030|NEW YORK|NY
H4NY15105|JEFFERSON, KENNETH P., JR|REP|2004|NY|H|C|C00406298|40.76633930120482|-73.97691936746988|10027|NEW YORK|NY
H4NY16053|MOHAMED, ALI|REP|2006|NY|H|C||40.84928938461538|-73.87575261538461|10467|BRONX|NY
H4NY17101|FLEMING, JOHN J|REP|2004|NY|H|C|C00391615|40.84928938461538|-73.87575261538461|10471|BRONX|NY
H4NY17119|FLAGG, JESSICA|DEM|2006|NY|H|C|C00405829|40.97036383333334|-73.84872266666666|10463|YONKERS|NY
H4NY18075|HOFFMAN, RICHARD A|REP|2006|NY|H|C|C00397836|40.939049|-73.83099|10708|BRONXVILLE|NY
H4NY18083|DORR, GLENN BERT III|REP|2004|NY|H|C|C00399360|41.0477935|-73.71150800000001||RYE|NY
H4NY19073|KELLY, SUE W|REP|2006|NY|H|I|C00294900|41.265478|-73.68512|10536|Katonah|NY
H4NY19099|SHULDINER, BENJAMIN OLIVER|DEM|2006|NY|H|C|C00401331|41.300561|-73.861217|10517|CROMPOND|NY
H4NY19107|JALIMAN, MICHAEL|DEM|2004|NY|H|C|C00404327|41.41362|-73.59556|10509|BREWSTER|NY
H4NY20055|DIOGUARDI, JOSEPH J|RTL|1998|NY|H|C|C00316448|41.176837|-73.84741|10562|OSSINING|NY
H4NY20097|COLEMAN, JOHN J|DEM|2004|NY|H|C|C00403147|41.72302825|-73.8219295|12603|POUGHKEEPSIE|NY
H4NY20105|GULLER, MORRIS N.|DEM|2006|NY|H|C|C00418004|42.209414|-74.34767|12492|WEST KILL|NY
H4NY20113|KELLY, DORIS F|DEM|2004|NY|H|C|C00404749|41.779541|-73.90155|12538|HYDE PARK|NY
H4NY22028|BRENNER, WILLIAM A.|REP|2004|NY|H|C|C00404681|41.85304|-74.52915|12740|GRAHAMSVILLE|NY
H4NY23059|JOHNSON, ROBERT J|DEM|2006|NY|H|C|C00403162|43.936173|-76.10295|13685|SACKETS HARBOR|NY
H4NY24032|GOODELL, BRIAN THOMAS|DEM|2004|NY|H|C|C00398032|42.4506555|-76.48830525|14850|ITHACA|NY
H4NY24040|MILLER, JEFFREY A|DEM|2004|NY|H|C|C00402149|43.067169|-75.28767|13413|NEW HARTFORD|NY
H4NY26045|DAVIS, JOHN R JR|DEM|2006|NY|H|C|C00421909|42.981558|-78.61484|14031|CLARENCE|NY
H4NY27068|CLARK, PAUL T|DEM|2004|NY|H|C|C00400275|42.836858|-78.75557|14224|WEST SENECA|NY
H4NY27076|HIGGINS, BRIAN M.|DEM|2006|NY|H|I|C00401034|42.86095690909091|-78.84706422727274|14220|Buffalo|NY
H4NY27084|COLLESANO, MICHAEL JOSEPH|DEM|2004|NY|H|C|C00401661|42.86095690909091|-78.84706422727274|14202|BUFFALO|NY
H4NY27100|THOMAS, MARK W|DEM|2004|NY|H|C|C00402586|42.425683|-79.3371|14063|FREDONIA|NY
H4NY28041|LABA, MICHAEL D|REP|2004|NY|H|C|C00400879|43.21979855319149|-77.64726129787233|14615|ROCHESTER|NY
H4NY28058|LANCASTER, TIMOTHY LANE|GRE|2004|NY|H|C|C00401141|43.21979855319149|-77.64726129787233|14607|ROCHESTER|NY
H4NY29080|KUHL, JOHN|REP|2006|NY|H|I|C00388173|42.453547|-77.18019|14840|HAMMONDSPORT|NY
H4NY29098|ASSINI, MARK W|REP|2004|NY|H|C|C00385559|43.21979855319149|-77.64726129787233|14624|ROCHESTER|NY
H4NY29106|KOLB, BRIAN M|REP|2004|NY|H|C|C00393561|42.85297|-77.29466|14424|CANANDAIGUA|NY
H4NY29130|BAREND, SAMARA|DEM|2004|NY|H|C|C00400184|42.143073|-77.30738|14830|CORNING|NY
H4NY29155|ALDERSON, JEREMY WEIR|DEM|2004|NY|H|C|C00406538|42.521501|-76.86246|14841|HECTOR|NY
H4OH00010|BRADY, DAN|DEM|2004|OH|H|C|C00392514|41.55917763829786|-81.65604136170215|44102|CLEVELAND|OH
H4OH00028|LUCHANSKY, JOHN|DEM|2006|OH|H|O||41.016159|-80.61549|44514|POLAND|OH
H4OH02032|PORTMAN, ROBERT J|REP|2006|OH|H|I|C00279299|39.168818|-84.24995|45150|MILFORD|OH
H4OH03048|SCHNEIDER, THOMAS|IND|2004|OH|H|C|C00385427|39.664226|-84.24201|45449|WEST CARROLLTON|OH
H4OH03055|MITAKIDES, LOUELLA JANE|DEM|2006|OH|H|C|C00427757|39.74654581632654|-84.20972132653061|45429|DAYTON|OH
H4OH04020|STAHL, JAMES R.|REP|2006|OH|H|O|C00418350|41.015294|-83.648237|45840|FINDLAY|OH
H4OH04038|KONOP, BENJAMIN ZAGHARY|DEM|2004|OH|H|C|C00395673|40.774039|-83.81821|45810|ADA|OH
H4OH05035|WEIRAUCH, ROBIN R|DEM|2006|OH|H|C|C00398008|41.388278|-84.12511|43545|NAPOLEON|OH
H4OH06033|CREMEANS, FRANK A|REP|1998|OH|H|C|C00330670|38.825478|-82.22755|45631|GALLIPOLIS|OH
H4OH06066|MURPHY, DIANE T DI CARLO|DEM|2006|OH|H|O|C00411876|41.029666|-80.76396|44406|CANFIELD|OH
H4OH09060|KACZALA, LARRY A|REP|2004|OH|H|C|C00391342|41.6749844857143|-83.52541554285715|43606|TOLEDO|OH
H4OH10084|SMITH, BILL|REP|2004|OH|H|C|C00389320|41.480881|-81.80036|44107|LAKEWOOD|OH
H4OH10092|HERMAN, EDWARD F|REP|2004|OH|H|C|C00390013|41.480881|-81.80036|44107|LAKEWOOD|OH
H4OH10100|PULLING, GEORGE|DEM|2004|OH|H|C|C00396150|41.442863|-81.14404|44021|BURTON|OH
H4OH10126|WEBB, MATT|DEM|2006|OH|H|C||41.378051|-81.77945|44130|MIDDLEBURG HEIGHTS|OH
H4OH10134|FERRIS, BARBARA A|DEM|2006|OH|H|C|C00395392|41.397701|-81.73575|44129|PARMA|OH
H4OH13070|ORTEGA, JOSE|REP|2006|OH|H|O|C00395772|41.312752|-81.83197|44136|STRONGSVILLE|OH
H4OH13096|LUCAS, ROBERT RYAN|REP|2004|OH|H|C|C00398867|41.08549603125|-81.5288633125|44310|AKRON|OH
H4OH14094|CAFARO, CAPRI|DEM|2006|OH|H|O|C00419374|41.369846|-82.10874|44035|SHEFFIELD VILLAGE|OH
H4OH16081|SEEMANN, JEFF|DEM|2004|OH|H|C|C00399808|40.818579739130435|-81.3802060869565|44708|CANTON|OH
H4OH17113|CUSIMANO, FRANK V|REP|2004|OH|H|C|C00398354|41.274074875000004|-80.78983450000001|44484|WARREN|OH
H4OH18079|NEY, ROBERT W|REP|2006|OH|H|I|C00288324|40.086725|-80.90826|43950|ST CLAIRSVILLE|OH
H4OH18145|THOMAS, BRIAN R|DEM|2004|OH|H|C|C00394783|40.405788|-81.10432|43988|SCIO|OH
H4OH19036|LATOURETTE, STEVEN C|REP|2006|OH|H|I|C00284174|41.716094|-81.2396|44077|CONCORD TWP|OH
H4OK00018|WORTMAN, WILLIAM P III|IND|2006|OK|H|C|C00430231|36.13242035087719|-95.97262915789474|74105|TULSA|OK
H4OK02089|BOREN, DAVID D|DEM|2006|OK|H|I|C00410829|35.74128866666667|-95.35031199999999|74402|Muskogee|OK
H4OK02097|SMALLEY, WAYLAND R|REP|2004|OK|H|C|C00393397|36.546415|-95.44592|74016|CHELSEA|OK
H4OK02105|FIELDS, LLOYD LEE|DEM|2004|OK|H|C|C00395004|34.945829|-95.738899|74501|MCALESTER|OK
H4OK02121|HARRIS, DAMON BRUCE|REP|2004|OK|H|C|C00402438|36.335361|-95.608942|74017|CLAREMORE|OK
H4OK02139|WICKSON, RAYMOND|REP|2006|OK|H|C||35.628612|-95.9734|74447|OKMULGEE|OK
H4OK03038|WILSON, GREGORY M|DEM|2006|OK|H|C|C00399212|35.815581|-97.01061|74832|CARNEY|OK
