CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_LAT|CAND_LONG|CAND_ZIP|CAND_CITY|CAND_STATE
H0AS00018|HUNKIN, ENI FA'AUAA JR|IND|1980|AS|H|C|C00127225|-7.209975|-170.7716|96799|PAGO PAGO|AS
H0AS00026|SUNIA, FOFO I F CONGRESSMAN|DEM|1986|AS|H|I|C00133546|38.89531540217391|-77.01958254710144|20515|WASHINGTON|DC
H0AS00034|MULITAUAOPELE, I|DEM|1980|AS|H|C|C00138008|-7.209975|-170.7716|96799|PAGO PAGO|ZZ
H0AZ02018|"HUFF, RICHARD H ""DICK"""|REP|1982|AZ|H|C|C00159541|32.15193782692308|-111.18440194230767|85731|TUCSON|AZ
H0AZ03016|CROFT, BOB|REP|1980|AZ|H|C|C00137133|34.9372|-111.62931|86017|MUNDS PARK|AZ
H0CA01015|CHAPPIE, EUGENE A|REP|1986|CA|H|I|C00107730|39.753492|-121.7665425|95926|CHICO|CA
H0CA02013|WINDREM, PETER FOLGER|DEM|1980|CA|H|C|C00107953|38.939725|-122.78548|95451|XELSEYVILLE|CA
H0CA03029|DANIEL, BRUCE A|LIB|1986|CA|H|C|C00138990|38.817508|-121.17225|95650|LOOMIS|CA
H0CA07020|ST CLAIR, GILES|REP|1982|CA|H|C|C00153809|37.807869999999994|-121.94924499999999|94526|DANVILLE|CA
H0CA09018|KENNEDY, BILL|REP|1982|CA|H|C|C00127803|37.674313999999995|-121.881965|94566|PLEASANTON|CA
H0CA11022|LANTOS, THOMAS P|DEM|1986|CA|H|I|C00112250|37.4656448|-122.3221155|94402|SAN MATEO|CA
H0CA11162|MAKAR, BRUCE BERNARD|REP|1979|CA|H|C|C00107151|37.4656448|-122.3221155|94402|SAN MATEO|CA
H0CA11170|COREY, GEORGE RAYMOND|DEM|1979|CA|H|C|C00107243|37.490939499999996|-122.3680875|94030|MILLBRAE|CA
H0CA14018|CERNEY, ANNE|DEM|1980|CA|H|C|C00119214|38.04903233333334|-121.27569399999999|95240|LODI|CA
H0CA15015|SCHWARTZ, RONALD|REP|1980|CA|H|C|C00111294|36.75393231666668|-119.67922220000001|93728|FRESNO|CA
H0CA18027|"TIMMERMANS, MARY ""PAT"""|DEM|1980|CA|H|C|C00123802|35.31644239130434|-118.96400082608697|93306|BAKERSFIELD|CA
