CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_LAT|CAND_LONG|CAND_ZIP|CAND_CITY|CAND_STATE
H0AL06013|"CLIFFORD, WESLEY BRYANT ""PETE"""|DEM|1980|AL|H||C00119461|33.52148017567568|-86.87121170270271|35235|BIRMINGHAM|AL
H0AS00018|HUNKIN, ENI FA'AUAA JR|IND|1980|AS|H||C00127225|-7.209975|-170.7716|96799|PAGO PAGO|AS
H0AS00026|SUNIA, FOFO I F CONGRESSMAN|DEM|1984|AS|H|I|C00133546|38.87518503125|-77.09935687500001|22207|ARLINGTON|VA
H0AS00034|MULITAUAOPELE, I|DEM|1980|AS|H||C00138008|-7.209975|-170.7716|96799|PAGO PAGO|ZZ
H0AZ02018|"HUFF, RICHARD H ""DICK"""|REP|1982|AZ|H|C|C00159541|32.15193782692308|-111.18440194230767|85731|TUCSON|AZ
H0AZ03016|CROFT, BOB|REP|1980|AZ|H||C00137133|34.9372|-111.62931|86017|MUNDS PARK|AZ
H0CA01015|"CHAPPIE, EUGENE ""GENE"""|REP|1984|CA|H|I|C00107730|38.75107966666666|-121.29290666666668|95678|ROSEVILLE|CA
H0CA01056|MURPHY, TRACY|DEM|1980|CA|H||C00129080|38.997576333333335|-120.90238733333335|95603|AUBURN|CA
H0CA02013|WINDREM, PETER FOLGER|DEM|1980|CA|H||C00107953|38.939725|-122.78548|95451|XELSEYVILLE|CA
H0CA02021|KAHN, BRIAN|DEM|1980|CA|H||C00112243|38.277147|-122.47058|95476|SONOMA|CA
H0CA03029|DANIEL, BRUCE A.|LIB|1982|CA|H||C00138990|38.87672|-121.14213|95658|NEWCASTLE|CA
H0CA05016|MCQUAID, JOHN DENNIS|REP|1982|CA|H|C|C00150037|38.10891659999999|-122.56890940000001|94947|NOVATO|CA
H0CA05024|DOUGHERTY, DAN P|LIB|1980|CA|H||C00126920|38.068036|-122.740988|94904|KENTFIELD|CA
H0CA07020|ST CLAIR, GILES|REP|1982|CA|H||C00153809|37.807869999999994|-121.94924499999999|94526|DANVILLE|CA
H0CA08010|CHANDLER, TERTIUS|REP|1982|CA|H|||37.85449872727273|-122.24097363636362|94708|BERKELEY|CA
H0CA09018|KENNEDY, BILL|REP|1982|CA|H||C00127803|37.674313999999995|-121.881965|94566|PLEASANTON|CA
H0CA10024|FUHRIG, BRIAN JOSEPH|LIB|1984|CA|H|C|C00126268|37.66309557142857|-122.00989628571429|94544|HAYWARD|CA
H0CA11014|ROYER, BILL|REP|1982|CA|H|C|C00106443|37.44802|-122.27109333333334|94062|REDWOOD CITY|CA
H0CA11022|LANTOS, THOMAS P|DEM|1984|CA|H|I|C00112250|37.4656448|-122.3221155|94402|SAN MATEO|CA
H0CA11162|MAKAR, BRUCE BERNARD|REP|1979|CA|H|C|C00107151|37.4656448|-122.3221155|94402|SAN MATEO|CA
H0CA11170|COREY, GEORGE RAYMOND|DEM|1979|CA|H|C|C00107243|37.490939499999996|-122.3680875|94030|MILLBRAE|CA
H0CA11188|"HOLSINGER, G. W. ""JOE"""|DEM|1979|CA|H|C|C00106948|37.562385|-122.251078|94404|FOSTER CITY|CA
