CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_LAT|CAND_LONG|CAND_ZIP|CAND_CITY|CAND_STATE
H0AK00030|SINKOLA, GARY|REP|1990|AK|H|C||64.8607398|-147.5316743|99708|FAIRBANKS|AK
H0AK01020|DEVENS, JOHN|DEM|1990|AK|H|C|C00242578|61.128176|-146.2357|99686|VALDEZ|AK
H0AL02046|BAGGIANO, FAYE S|DEM|1990|AL|H|C|C00244277|32.293839742857145|-86.24048460000002|36116|MONTGOMERY|AL
H0AL02053|BALMER, GEORGE|DEM|1990|AL|H|C|C00245688|31.816715333333335|-85.959951|36081|TROY|AL
H0AL03036|BROWDER, JOHN GLEN|DEM|1990|AL|H|I|C00235119|33.824496|-85.77037|36265|JACKSONVILLE|AL
H0AL03044|ROBBINS, RAY F II|REP|1989|AL|H|O|C00235127|33.4178275|-86.105931|35160|TALLADEGA|AL
H0AL03051|RICE, JOHN|REP|1989|AL|H|O|C00235200|32.57938625|-85.378585|36801|OPELIKA|AL
H0AL03069|PACE, JIM W|REP|1989|AL|H|O||33.593189|-85.99551|36260|EASTABOGA|AL
H0AL03077|ADAMS, CHARLES H|DEM|1990|AL|H|O|C00235416|32.492304|-85.01943|36867|PHOENIX CITY|AL
H0AL03085|EMERSON, ROBERT C|DEM|1990|AL|H|O||33.338853|-85.509|36278|WEDOWEE|AL
H0AL03093|JAMES, MICHAEL K|REP|1989|AL|H|O|C00235424|33.693883142857146|-85.81986085714287|36201|ANNISTON|AL
H0AL03101|DIAL, GERALD OSCAR|DEM|1989|AL|H|O|C00235259|33.328958|-85.72073|36266|LINEVILLE|AL
H0AL03119|FORD, JOHNNY|DEM|1989|AL|H|O|C00235275|32.427987|-85.69542|36083|TUSKEGEE|AL
H0AL03127|HOLMES, DONALD G|DEM|1989|AL|H|O|C00235283|33.591301|-85.83571|36203|OXFORD|AL
H0AL03135|SPRAYBERRY, JAMES M|DEM|1989|AL|H|O|C00235382|33.1616485|-86.292595|35150|SYLACAUGA|AL
H0AL03143|PREUITT, JAMES E|DEM|1989|AL|H|O|C00235242|33.4178275|-86.105931|35160|TALLADEGA|AL
H0AL03150|EVANS, CHARLES RAY|UNK|1990|AL|H|C|C00235267|38.89531540217391|-77.01958254710144|20013|WASHINGTON|DC
H0AL03168|SLEDGE, DON|REP|1990|AL|H|C|C00243162|32.6779235|-85.26261650000001|36854|VALLEY|AL
H0AL05031|ASQUITH, JAMES EDWARD|REP|1990|AL|H|O|C00238592|34.720885333333335|-86.56898125|35802|HUNTSVILLE|AL
H0AL05049|CRAMER, ROBERT E JR|DEM|1990|AL|H|O|C00239038|34.720885333333335|-86.56898125|35801|HUNTSVILLE|AL
H0AL05056|FROST, JAMES EDDIE|DEM|1990|AL|H|O|C00239541|34.8690518|-87.6914696|35631|FLORENCE|AL
H0AL05064|GREER, BAYLESS LYNN|DEM|1990|AL|H|O|C00240242|34.843309|-87.29937||ROGERSVILLE|AL
H0AL05072|BOHANNON, CLYDE LEO JR|REP|1990|AL|H|O|C00240788|34.8690518|-87.6914696|35630|FLORENCE|AL
H0AL05080|TERRY, GARLAND DOUGLAS|DEM|1990|AL|H|O|C00242016|34.54627|-86.9386364|35603|DECATUR|AL
H0AL05098|PRATT, EVELYN|DEM|1990|AL|H|O|C00241778|34.720885333333335|-86.56898125|35801|HUNTSVILLE|AL
H0AL05106|MCDONALD, ALBERT CLYDE|REP|1990|AL|H|O|C00242453|34.720885333333335|-86.56898125|35806|HUNTSVILLE|AL
H0AL05114|WELLS, ANNIE BULLARD|REP|1990|AL|H|O|C00243253|34.720885333333335|-86.56898125|35802|HUNTSVILLE|AL
H0AL05122|WOOD, DAVID ANDREW|DEM|1990|AL|H|O|C00243923|34.707268666666664|-86.76429|35758|MADISON|AL
H0AL05130|JOHNSON, JEFFREY ADAM|LIB|1990|AL|H|O|C00243972|34.707268666666664|-86.76429|35758|MADISON|AL
H0AL05148|SPEARS, WILLIAM EARL|DEM|1990|AL|H|O|C00244665|34.8690518|-87.6914696|35630|FLORENCE|AL
H0AL06062|ALVEREZ, DAVID A|IND|1990|AL|H|C||33.52148017567568|-86.87121170270271|35208|BIRMINGHAM|AL
H0AL07052|BARKER, MICHAEL DEAN|REP|1990|AL|H|C|C00243741|33.52148017567568|-86.87121170270271|35242|BIRMINGHAM|AL
H0AR01018|GIBSON, MICHAEL LEE|DEM|1990|AR|H|C|C00237446|35.696385|-90.02631|72370|OSCEOLA|AR
H0AR01026|HAYES, TERRY OWEN|REP|1990|AR|H|C|C00245092|35.512377|-92.0222805|72543|HEBER SPRINGS|AR
H0AR02040|FULLER, RON|REP|1990|AR|H|O|C00238741|34.757797833333335|-92.34247691666667|72212|LITTLE ROCK|AR
H0AR02065|"KEET, JAMES HOLLAND III ""JIM KEET"""|REP|1990|AR|H|O|C00243089|34.757797833333335|-92.34247691666667|72221|LITTLE ROCK|AR
H0AR03014|IVY, DANNY CHRIS|DEM|1990|AR|H|C|C00246645|36.05964325|-94.17956425|72702|FAYETTEVILLE|AR
H0AR04012|FRENCH, JAMES M|DEM|1990|AR|H|C|C00242982|33.20824|-92.58901|71730|EL DORADO|AR
H0AR04020|ROOD, ROY ELMER|REP|1990|AR|H|C|C00245142|33.20824|-92.58901|71730|EL DORADO|AR
H0AS00018|FALEOMAVAEGA, ENI FA'AUA'A HUNKIN|DEM|1990|AS|H|I|C00231092|-7.209975|-170.7716|96799|PAGO PAGO|AS
H0AS00034|MULITAUAOPELE, I|DEM|1980|AS|H|C|C00138008|-7.209975|-170.7716|96799|PAGO PAGO|ZZ
H0AS00042|TAGO, ACE A|IND|1990|AS|H|C|C00247205|-7.209975|-170.7716|96799|PAGO PAGO|AS
H0AS00059|TUUFULI, MOA A LII TELE|DEM|1990|AS|H|C||-7.209975|-170.7716|96799|PAGO PAGO|AS
H0AS00067|LUTU, AFOA MOEGA|IND|1990|AS|H|C|C00248856|-7.209975|-170.7716|96799|PAGO PAGO|AS
H0AZ01150|WRZESINSKI, JOHN T|REP|1990|AZ|H|C|C00241760|33.38321239999999|-111.85587515|85203|MESA|AZ
H0AZ01168|CLARK, SHELDON|REP|1990|AZ|H|C|C00244806|33.38321239999999|-111.85587515|85202|MESA|AZ
H0AZ01176|PILE, JOHN MARTIN|DEM|1990|AZ|H|C|C00247031|33.38321239999999|-111.85587515|85210|MESA|AZ
H0AZ02117|RODRIGUEZ, ALBERT F|REP|1990|AZ|H|C||32.15193782692308|-111.18440194230767|85719|TUCSON|AZ
H0AZ03016|CROFT, BOB|REP|1980|AZ|H|C|C00137133|34.9372|-111.62931|86017|MUNDS PARK|AZ
H0AZ03222|HARTSTONE, ROGER D|DEM|1990|AZ|H|C|C00245373|35.485079999999996|-111.8656702|86001|FLAGSTAFF|AZ
H0AZ04451|IVEY, MARK JR|DEM|1990|AZ|H|C|C00244558|34.2505175|-111.28456|85541|PAYSON|AZ
H0AZ05011|COYLE, GERALD LEE|DEM|1990|AZ|H|C||31.406229|-109.8958|85603|BISBEE|AZ
H0AZ05029|PHILLIPS, CHUCK|DEM|1990|AZ|H|C||32.15193782692308|-111.18440194230767|85712|TUCSON|AZ
H0CA00017|BARBIERI, JOHN MICHAEL|REP|1992|CA|H|C|C00247064|33.760568500000005|-118.29940099999999|90731|SAN PEDRO|CA
