CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_LAT|CAND_LONG|CAND_ZIP|CAND_CITY|CAND_STATE
H0AL07060|DAVIS, ARTUR  G|DEM|2008|AL|H|I|C00347872|33.52148017567568|-86.87121170270271|35201|Birmingham|AL
H0AR04038|ROSS, MICHAEL AVERY|DEM|2008|AR|H|I|C00345710|33.806886|-93.36595|71857|Prescott|AR
H0AS00018|FALEOMAVAEGA, ENI|DEM|2008|AS|H|I|C00231092|38.89531540217391|-77.01958254710144|20026|Washington|DC
H0AZ01184|FLAKE, JEFF MR.|REP|2008|AZ|H|I|C00347260|33.38321239999999|-111.85587515|85205|Mesa|AZ
H0AZ03248|SCHARER, GENE PAUL|DEM|2006|AZ|H|C|C00419366|33.49021461538462|-112.19915230769229|85302|GLENDALE|AZ
H0CA11022|LANTOS, TOM|DEM|2008|CA|H|I|C00112250|37.4401595|-122.3006875|94070|San Carlos|CA
H0CA14042|DOOLITTLE, JOHN|REP|2008|CA|H|I|C00242768|38.89531540217391|-77.01958254710144|20515|WASHINGTON|DC
H0CA15148|HONDA, MIKE|DEM|2008|CA|H|I|C00351379|37.24389375806454|-121.78056964516126|95155|San Jose|CA
H0CA23043|KALEMKARIAN, TIMOTHY CHARLES|REP|2008|CA|H|C|C00447011|33.987485666666664|-118.763014|91359|WESTLAKE VILLAGE|CA
H0CA27085|SCHIFF, ADAM|DEM|2008|CA|H|I|C00343871|33.94396584158416|-118.29928288118809|90017|Los Angeles|CA
H0CA31087|SOLIS, HILDA|DEM|2008|CA|H|I|C00346296|33.930122250000004|-118.16264349999999|91731|El Monte|CA
H0CA32085|EVANS, MERVIN LEON|DEM|2008|CA|H|C|C00390385|33.9577728|-118.3576128|90211|BEVERLY HILLS|CA
H0CA32093|HENTSCHEL, NOEL IRWIN|REP|2001|CA|H|C|C00365049|33.94396584158416|-118.29928288118809|90077|LOS ANGELES|CA
H0CA32101|CHU, JUDY|DEM|2009|CA|H|C||33.94396584158416|-118.29928288118809|90017|LOS ANGELES|CA
H0CA32119|ROMERO, GLORIA||2010|CA|H|C||33.94396584158416|-118.29928288118809|90032|LOS ANGELES|CA
H0CA37118|VAN, VERNON|REP|2004|CA|H|C|C00399899|33.79097913793104|-118.20857620689657|90803|LONG BEACH|CA
H0CA38066|SCHIPSKE, GERRIE|DEM|2008|CA|H|C|C00434977|33.94396584158416|-118.29928288118809|90071|LOS ANGELES|CA
H0CA43066|COLLEN, MARTIN|REP|2002|CA|H|C|C00351122|33.84355464705882|-116.68860723529411|92507|Riverside|CA
H0CA44080|GORDON, JON|DEM|2000|CA|H|C|C00345165|33.788903749999996|-116.4134535|92263|PALM SPRINGS|CA
