CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_LAT|CAND_LONG|CAND_ZIP|CAND_CITY|CAND_STATE
H0AS00018|FALEOMAVAEGA, ENI FAAUAA HUNKIN|DEM|1988|AS|H|O|C00231092|-7.209975|-170.7716|96799|PAGO PAGO|AS
H0AS00026|SUNIA, FOFO I F CONGRESSMAN|DEM|1986|AS|H|C|C00133546|38.89531540217391|-77.01958254710144|20515|WASHINGTON|DC
H0AS00034|MULITAUAOPELE, I|DEM|1980|AS|H|C|C00138008|-7.209975|-170.7716|96799|PAGO PAGO|ZZ
H0AZ03016|CROFT, BOB|REP|1980|AZ|H|C|C00137133|34.9372|-111.62931|86017|MUNDS PARK|AZ
H0CA02013|WINDREM, PETER FOLGER|DEM|1980|CA|H|C|C00107953|38.939725|-122.78548|95451|XELSEYVILLE|CA
H0CA07020|ST CLAIR, GILES|REP|1982|CA|H|C|C00153809|37.807869999999994|-121.94924499999999|94526|DANVILLE|CA
H0CA09018|KENNEDY, BILL|REP|1982|CA|H|C|C00127803|37.674313999999995|-121.881965|94566|PLEASANTON|CA
H0CA11022|LANTOS, THOMAS P|DEM|1988|CA|H|I|C00112250|37.4656448|-122.3221155|94402|SAN MATEO|CA
H0CA11162|MAKAR, BRUCE BERNARD|REP|1979|CA|H|C|C00107151|37.4656448|-122.3221155|94402|SAN MATEO|CA
H0CA11170|COREY, GEORGE RAYMOND|DEM|1979|CA|H|C|C00107243|37.490939499999996|-122.3680875|94030|MILLBRAE|CA
H0CA14018|CERNEY, ANNE|DEM|1980|CA|H|C|C00119214|38.04903233333334|-121.27569399999999|95240|LODI|CA
H0CA14042|DOOLITTLE, JOHN T|REP|1990|CA|H|C||38.803579|-121.250675|95677|ROCKLIN|CA
H0CA15015|SCHWARTZ, RONALD|REP|1980|CA|H|C|C00111294|36.75393231666668|-119.67922220000001|93728|FRESNO|CA
H0CA18027|"TIMMERMANS, MARY ""PAT"""|DEM|1980|CA|H|C|C00123802|35.31644239130434|-118.96400082608697|93306|BAKERSFIELD|CA
H0CA27010|DUBIN, GARY VICTOR|DEM|1980|CA|H|C|C00117382|33.8814835|-118.376621|90291|MARINA DEL REY|CA
H0CA31020|DYMALLY, MERVYN M|DEM|1988|CA|H|I|C00120436|33.853547000000006|-118.2548448|90220|COMPTON|CA
H0CA31053|GRIGSBY, LAWRENCE ALLEN|DEM|1990|CA|H|C||33.94396584158416|-118.29928288118809|90008|LOS ANGELES|CA
