CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_ZIP|CAND_CITY|CAND_STATE
S2NV00142|GARCIA, JR. JOE S|IND|1992|NV|S|C||89049|TONOPAH|NV
S2NV00159|AVERY, LOIS JEANNE|UNK|1992|NV|S|C|C00278630|89451|INCLINE VILLAGE|NV
S2NV00167|TOOTLE, HARRY|POP|1992|NV|S|C||89108|LAS VEGAS|NV
S2NY00036|SEYMOUR, WHITNEY NORTH JR|REP|1982|NY|S|C|C00155895|10004|NEW YORK|NY
S2NY00044|KLENETSKY, MEL|DEM|1982|NY|S|C|C00152553|10040|NEW YORK|NY
S2NY00077|SULLIVAN, FLORENCE M|REP|1982|NY|S|C|C00157768|11209|BROOKLYN|NY
S2NY00101|MRAZEK, ROBERT J|DEM|1992|NY|S|C|C00154179|11721|CENTERPORT|NY
S2NY00119|FERRARO, GERALDINE|DEM|1992|NY|S|C|C00252080|10010|NEW YORK|NY
S2NY00127|SUAREZ-COHEN, ARTEMUS (ART)|REP|1992|NY|S|C||10041|BRONX|NY
S2NY00135|CASABURRO, JOHN E|REP|1992|NY|S|C|C00256081|10708|YONKERS|NY
S2NY00143|SHARPTON, AL|DEM|1992|NY|S|C|C00260703|11228|BROOKLYN|NY
S2NY00150|CHRISTIAN, PETER|IND|1992|NY|S|C|C00265629|10024|NEW YORK|NY
S2NY00168|ROCKEFELLER, LAURANCE (LARRY)|REP|1992|NY|S|C|C00272351|12753|LEW BEACH|NY
S2NY00184|MEHDI, MOHAMMAD|UNK|1992|NY|S|C||10017|NEW YORK|NY
S2NY00192|NELSON, STANLEY|UNK|1992|NY|S|C||10025|NEW YORK|NY
S2NY00200|SEGAL, NORMA|LIB|1992|NY|S|C||10583|SCARSDALE|NY
S2NY00218|WARREN, ED|SWP|1992|NY|S|C||10018|NEW YORK|NY
