CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00000059|HALLMARK CARDS PAC|U|Q|UNK||C||64108|KANSAS CITY|MO
C00000422|AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|||M|DELAWARE MEDICAL PAC|20001|WASHINGTON|DC
C00000489|D R I V E POLITICAL FUND CHAPTER 886|U|N|||L|TEAMSTERS LOCAL UNION 886|73107|OKLAHOMA CITY|OK
C00000547|KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|U|Q|UNK||M|KANSAS MEDICAL SOCIETY|66612|TOPEKA|KS
C00000638|INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||M|INDIANA STATE MEDICAL ASSOCIATION|46202|INDIANAPOLIS|IN
C00000729|AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|UNK||T|NEW JERSEY DENTAL PAC|20005|WASHINGTON|DC
C00000885|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE|B|Q|UNK||L|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES|21076|HANOVER|MD
C00000901|BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC)|B|Q|UNK||T|NATIONAL ASSOCIATION OF HOME BUILDERS|20005|WASHINGTON|DC
C00000935|DCCC|U|Y|DEM||||20003|WASHINGTON|DC
C00000984|UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)|B|Q|UNK||T|UNITED STATES TELECOM ASSOCIATION|20001|WASHINGTON|DC
C00001016|CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS|B|Q|NNE||L|UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA|20001|WASHINGTON|DC
C00001180|MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY|U|Q|NNE||T|MICHIGAN STATE MEDICAL SOCIETY|48826|EAST LANSING|MI
C00001198|AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC')|B|Q|||T||20005|WASHINGTON|DC
C00001214|TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|NNE||T|AMPAC|78701|AUSTIN|TX
C00001305|REPUBLICAN PARTY OF VIRGINIA INC|U|Y|REP|||NRSC TARGETED STATE VICTORY COMMITTEE|23219|RICHMOND|VA
C00001313|REPUBLICAN PARTY OF MINNESOTA - FEDERAL|U|Y|REP|||PROTECT THE HOUSE|55404|MINNEAPOLIS|MN
C00001347|HAWAII MEDICAL POLITICAL ACTION COMMITTEE|U|Q|UNK||M||96814|HONOLULU|HI
C00001388|DAIRY FARMERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE; AKA DFA-PAC|B|Q|||V|DAIRY FARMERS OF AMERICA, INC.|66111|KANSAS CITY|KS
C00001461|ALASKA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (ALPAC)|U|Q|||M|ALASKA STATE MEDICAL ASSOCIATION|99508|ANCHORAGE|AK
C00001636|UNITED TRANSPORTATION UNION POLITICAL ACTION COMMITTEE (UTU PAC)|B|Q|||L|UNITED TRANSPORTATION UNION|44070|NORTH OLMSTED|OH
C00001727|BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE|U|W|UNK||||20036|WASHINGTON|DC
C00001743|LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND|U|Q|||L|LOCAL 1814 ILA AFL-CIO POLITICAL ACTION AND EDUCATION FUND|11232|BROOKLYN|NY
C00001776|NEW MEXICO MEDICAL SOCIETY POLITICAL ACTION COMMITTEE (AKA NEMPAC)|U|Q|UNK||C||87107|ALBUQUERQUE|NM
C00001917|WY DEMOCRATIC STATE CENTRAL COMMITTEE|U|Y|DEM|||DOLLARS FOR DEMOCRATS|82003|CHEYENNE|WY
C00002089|COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE|B|Q|||L|COMMUNICATIONS WORKERS OF AMERICA|20001|WASHINGTON|DC
C00002238|NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC|U|Q|||T||20001|WASHINGTON|DC
