CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00000018|IRONWORKERS LOCAL UNION NO. 25 POLITICAL EDUCATION COMMITTEE|U|Q|||L|IRON WORKERS; INT'L ASS'N OF BRIDGE...|48235|DETROIT|MI
C00000026|INTERNATIONAL CHIROPRACTORS POLITICAL ACTION COMMITTEE|U|Q|UNK||T|CHIROPRACTORS ASSOCIATION; INT'L|20036|WASHINGTON|DC
C00000042|ILLINOIS TOOL WORKS INC. POLITICAL ACTION COMMITTEE|U|Q|||C|ILLINOIS TOOL WORKS INC|60631|CHICAGO|IL
C00000059|HALLMARK POLITICAL ACTION COMMITTEE-FEDERAL HALLPAC-FEDERAL|U|Q|UNK||C|HALLMARK CARDS INCORPORATED|64108|KANSAS CITY|MO
C00000117|AMERICANS FOR CONSTITUTIONAL ACTION (ACA)|U|Q|||M|NONE|20024|WASHINGTON|DC
C00000125|ARCHER FOR CONGRESS COMMITTEE|P|H|DEM|H6TX07029|||77019|HOUSTON|TX
C00000141|BURTON FOR CONGRESS CAMPAIGN COMMITTEE|P|H||H6CA06029|||94104|SAN FRANCISCO|CA
C00000182|DEMOCRATIC CONGRESSIONAL DINNER COMMITTEE|J|Y|DEM|||DSCC, DCCC|20001|WASHINGTON|DC
C00000273|KEEP RHODES IN CONGRESS COMMITTEE|U|Q|UNK||M||85201|MESA|AZ
C00000323|WHITEHURST FOR CONGRESS|P|H||H6VA02040|||23514|NORFOLK|VA
C00000349|BURGENER FOR CONGRESS COMMITTEE|P|H|REP|H6CA43030|||92138|SAN DIEGO|CA
C00000364|DEVINE FOR CONGRESS COMMITTEE|P|H||H6OH12028|||43215|COLUMBUS|OH
C00000372|MAINTENANCE OF WAY POLITICAL LEAGUE|U|Q|UNK||L|MAINTENANCE OF WAY EMPLOYEES|48203|DETROIT|MI
C00000422|AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||T|MEDICAL ASS'N: AMERICAN        [AMPAC]|20005|WASHINGTON|DC
C00000430|ANDREWS FOR CONGRESS COMMITTEE|P|H||H6ND00017|||58102|FARGO|ND
C00000463|CITIZENS FOR SNYDER|P|H||H6KY04031|||40207|ST MATTHEWS|KY
C00000489|DRIVE POLITICAL FUND, CHAPTER 886*|U|Q|||L|TEAMSTERS; INT'L BROTHERHOOD OF|73107|OKLAHOMA CITY|OK
C00000505|GLENN ANDERSON CAMPAIGN COMMITTEE|P|H|DEM|H6CA32025|||90505|TORRANCE|CA
C00000547|KANSAS MEDICAL POLITICAL ACTION COMMITTEE|U|Q|UNK||T|MEDICAL ASS'N; KANSAS          [AMPAC]|66612|TOPEKA|KS
C00000554|LATTA FOR CONGRESS COMMITTEE|P|H||H6OH05022|||45879|PAULDING|OH
C00000638|INDIANA MEDICAL POLITICAL ACTION COMMITTEE|U|Q|||T|MEDICAL ASS'N; INDIANA         [AMPAC]|46208|INDIANAPOLIS|IN
