CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00000059|HALLMARK CARDS PAC|U|Q|UNK||C||64108|KANSAS CITY|MO
C00000422|AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|||M|AMERICAN MEDICAL ASSOCIATION|20001|WASHINGTON|DC
C00000489|D R I V E POLITICAL FUND CHAPTER 886|U|N|||L|TEAMSTERS LOCAL UNION 886|73107|OKLAHOMA CITY|OK
C00000547|KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|U|Q|UNK||T||66612|TOPEKA|KS
C00000638|INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||M||46202|INDIANAPOLIS|IN
C00000729|AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|UNK||M|AMERICAN DENTAL ASSOCIATION|20005|WASHINGTON|DC
C00000885|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMM|B|Q|UNK||L|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES|21076|HANOVER|MD
C00000901|BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC)|B|Q|UNK||T|NATIONAL ASSOCIATION OF HOME BUILDERS|20005|WASHINGTON|DC
C00000935|DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE|U|Y|DEM|||NANCY PELOSI VICTORY FUND|20003|WASHINGTON|DC
C00000984|UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)|B|Q|UNK||T|UNITED STATES TELECOM ASSOCIATION|20005|WASHINGTON|DC
C00000992|BRANCH COUNTY REPUBLICAN COMMITTEE|U|Y|REP||||49036|COLDWATER|MI
C00001016|CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS|B|Q|NNE||L|UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA|20001|WASHINGTON|DC
C00001180|MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY|U|Q|NNE||T|MICHIGAN STATE MEDICAL SOCIETY|48826|EAST LANSING|MI
C00001198|AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC')|B|Q|||T|AMERICAN HOTEL & LODGING ASSOCIATION|20005|WASHINGTON|DC
C00001214|TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|NNE||T|AMPAC|78701|AUSTIN|TX
C00001305|REPUBLICAN PARTY OF VIRGINIA INC|U|Y|REP|||GILLESPIE VICTORY FUND|23219|RICHMOND|VA
