CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_LAT|CMTE_LONG|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00186080|CHRYSLER FIRST INC POLITICAL ACTION COMMITTEE (FKA FINANCEAMERICA PAC)|U|Q|||C|CHRYSLER FIRST INC|40.61434644444445|-75.51798822222223|18101|ALLENTOWN|PA
C00186122|AMERITRUST POLITICAL ACTION COMMITTEE (AMERIPAC)|U|Q|||C|AMERITRUST CO|41.55917763829786|-81.65604136170215|44101|CLEVELAND|OH
C00186155|FIRST DISTRICT FAVORITE SON|U|D|||||41.85168971764706|-87.67981902352942|60602|CHICAGO|IL
C00186163|HOSEA WILLIAMS FOR CONGRESS COMMITTEE|P|H|DEM|H4GA05048|||33.828458666666684|-84.40236618918924|30302|ATLANTA|GA
C00186189|BOULDER COUNTY REPUBLICAN CENTRAL COMMITTEE|U|Y|REP|||COLORADO REPUBLICAN STATE COMMITTEE|40.062142875|-105.33811643749999|80303|BOULDER|CO
C00186197|DADE COUNTY SCHOOL ADMINISTRATORS ASSOCIATION PAC-DCSAA/PAC|U|N|||W|DADE CTY SCHOOL ADMINISTRATORS ASSN|25.558428|-80.458168|33124|CORAL GABLES|FL
C00186205|PUROLATOR COURIER CORP POLITICAL ACTION COMMITTEE|U|Q|||C|PUROLATOR COURIER CORP|40.6789|-74.57039|07920|BASKING RIDGE|NJ
C00186213|VERMONT FREEZE VOTER 84|U|N|||M|NONE|43.02419|-72.51725|05346|PUTNEY|VT
C00186247|JOHN E BENNETT FOR CONGRESS COMMETTEE|P|H|REP|H4MA10050|||42.34437557407409|-71.0031983888889|02114|BOSTON|MA
C00186254|FICKER FOR CONGRESS COMMITTEE|P|H|REP|H4MD06035|||39.0895035|-77.2037835|20854|POTOMAC|MD
C00186262|DAVE RUED FOR CONGRESS|P|H||H4MN07036||Y|44.751433|-93.28105500000001|55337|BURNSVILLE|MN
C00186270|TRAVIS COUNTY 84 VICTORY FUND|U|N|||M|NONE|30.319931120481932|-97.75807027710842|78731|AUSTIN|TX
C00186288|BELL ATLANTIC CORPORATION POLITICAL ACTION COMMITTEE|U|Q|||C|BELL ATLANTIC CORPORATION|39.99641823809524|-75.13775460714287|19103|PHILADELPHIA|PA
C00186296|MONDALE/FERRARO COMMITTEE INC|P|P|DEM|P40000267|||38.89531540217391|-77.01958254710144|20007|WASHINGTON|DC
C00186304|MONDALE/FERRARO COMMITTEE INC/LEGAL AND ACCOUNTING COMPLIANCE FUND|A|P|DEM|P40000267|||38.89531540217391|-77.01958254710144|20037|WASHINGTON|DC
C00186312|REAGAN-BUSH '84 (GENERAL ELECTION COMMITTEE)|P|P|REP|P60000668|||33.675686642857144|-117.78497864285714|92714|IRVINE|CA
