CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_LAT|CMTE_LONG|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00000422|AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|||M|DELAWARE MEDICAL PAC|38.89531540217391|-77.01958254710144|20001|WASHINGTON|DC
C00000489|D R I V E POLITICAL FUND CHAPTER 886|U|N|||L||35.505733112499996|-97.47160356250001|73107|OKLAHOMA CITY|OK
C00000547|KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE|U|Q|UNK||M|KANSAS MEDICAL SOCIETY|39.041098899999994|-95.74326307499999|66612|TOPEKA|KS
C00000638|INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||M||39.797402600000005|-86.1365729|46202|INDIANAPOLIS|IN
C00000729|AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE|B|Q|UNK||M|INDIANA DENTAL PAC|38.89531540217391|-77.01958254710144|20005|WASHINGTON|DC
C00000885|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE|B|Q|UNK||L|INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES|39.0709555|-76.656001|21076|HANOVER|MD
C00000901|BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC)|B|Q|UNK||T|NATIONAL ASSOCIATION OF HOME BUILDERS|38.89531540217391|-77.01958254710144|20005|WASHINGTON|DC
C00000935|DCCC|U|Y|DEM||||38.89531540217391|-77.01958254710144|20003|WASHINGTON|DC
C00000984|UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)|B|Q|UNK||T|UNITED STATES TELECOM ASSOCIATION|38.89531540217391|-77.01958254710144|20001|WASHINGTON|DC
C00001016|CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS|B|Q|NNE||L|UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA|38.89531540217391|-77.01958254710144|20001|WASHINGTON|DC
C00001180|MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY|U|Q|NNE||T|MICHIGAN STATE MEDICAL SOCIETY|42.6991935|-84.4468445|48826|EAST LANSING|MI
C00001198|AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC')|B|Q|||T||38.89531540217391|-77.01958254710144|20005|WASHINGTON|DC
