CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00114702|OCEAN SPRAY CRANBERRIES, INC. POLITICAL ACTION COMMITTEE|U|Q|||C|OCEAN SPRAY CRANBERRIES INC|02349|Lakeville-Middlebo|MA
C00114850|INTERNATIONAL UNION OF OPERATING ENGINEERS - LOCAL 101 POLITICAL ACTION COMMITTEE|U|Q|||L|INTERNATIONAL UNION OF OPERATING ENGIN|64133|KANSAS CITY|MO
C00115303|WYETH GOOD GOVERNMENT FUND|U|Q|||C|Wyeth|07940|Madison|NJ
C00115311|F H PRINCE & CO INC POLITICAL ACTION COMMITTEE|U|N|||C|F H PRINCE & CO INC|60606|CHICAGO|IL
C00115527|INTERNATIONAL ASSOCIATION OF HEAT & FROST INSULATORS AND ASBESTOS WORKERS P A C|U|Q|||L|INTERNATIONAL ASSOCIATION OF HEAT & FR|20706|Lanham|MD
C00115568|INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 4 SOCIAL ACTION COMMITTEE-FEDERAL|U|Q|||C|International Union of Operating Engin|02053|Medway|MA
C00115667|CRAIG FOR U S SENATE|P|S|REP|S0ID00057|||83701|BOISE|ID
C00115774|JPI GOOD GOVERNMENT (FKA SOUTHLAND FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE)|U|Q|||C|JPI CORPORATE INC|78701|AUSTIN|TX
C00115832|INDIANA BANKERS ASSOCIATION INDIANA BANKPAC - FEDERAL|U|Q|||T|Indiana Bankers Association|46254|INDIANAPOLIS|IN
C00115972|NICKLES GROUP PAC|U|Q|REP|||None|20005|Washington|DC
C00116020|VULCAN MATERIALS COMPANY POLITICAL ACTION COMMITTEE|U|Q|||C|Vulcan Materials Company|35238|Birmingham|AL
C00116145|INTERSTATE NATURAL GAS ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE|U|Q|||T|INTERSTATE NATURAL GAS ASSOCIATION OF|20002|WASHINGTON|DC
C00116632|HAL ROGERS FOR CONGRESS|P|H|REP|H0KY05015|||42502|SOMERSET|KY
C00116756|IOWA'S COMMUNITY BANKERS POLITICAL ACTION COMMITTEE II|U|Q|||T|IOWA'S COMMUNITY BANKERS|50309|DES MOINES|IA
C00116988|SAVINGS ASSOCIATIONS VOLUNTARY POLITICAL ACTION COMMITTEE-WASHINGTON FINANCIAL LEAGUE|U|Q|||T|Washington Financial League|98501|OLYMPIA|WA
C00116996|LENNOX EMPLOYEE ADVOCACY PROGRAM (LEAP) FKA LENNOX PAC (LEN PAC)|U|Q|||C|LENNOX INDUSTRIES INC|75379|DALLAS|TX
C00117119|FRIENDS OF CLAY SHAW|P|H|REP|H0FL12010||PROM|32720|DeLand|FL
C00117200|NORTH CAROLINA RIGHT TO LIFE INC - PAC|U|Q|||M|RIGHT TO LIFE INC; NORTH CAROLINA|27406|GREENSBORO|NC
C00117424|SMURFIT-STONE CONTAINER CORPORATION POLITICAL ACTION COMMITTEE|U|Q|||C|Smurfit-Stone Container Corporation|60601|CHICAGO|IL
C00117614|FARMERS MUTUAL HAIL INS CO OF IOWA POLITICAL ACTION COMMITTEE (FMH PAC)|U|Q|||C|FARMERS MUTUAL HAIL INSURANCE OF IOWA|50266|WEST DES MOINES|IA
C00117648|AMERICAN SEATING COMPANY POLITICAL ACTION COMMITTEE|U|Q|||C|AMERICAN SEATING COMPANY|49504|GRAND RAPIDS|MI
C00117721|CONGRESSIONAL MAJORITY COMMITTEE|U|Q|||M|NONE|22201|ARLINGTON|VA
C00117838|BAXTER HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE - BAXPAC|U|Q|||C|BAXTER HEALTHCARE CORPORATION|20005|Washington|DC
C00117861|LOCKE LORD BISSELL & LIDDELL LLP PAC|U|Q|||M|None|77002|Houston|TX
C00117911|NORTH DAKOTA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||T|AMERICAN BANKERS ASSOCIATION POLITICAL|58501|BISMARCK|ND
C00118208|AMERICAN ROAD & TRANSPORTATION BUILDERS ASSOCIATION PAC|U|Q|||T|American Road & Transportation Builder|20007|Washington|DC
C00118430|AMERICAN ORTHOTIC & PROSTHETIC ASSOCIATION POLITICAL ACTION COMMITTEE|U|Q|||T|American Orthotic & Prosthetic Associa|22314|Alexandria|VA
C00118703|GATX GOOD GOVERNMENT PROGRAM|U|Q|||C|GATX Corporation|60606|CHICAGO|IL
C00118828|BOILERMAKERS LOCAL 85 FEDERAL POLITICAL ACTION COMMITTEE|U|Q|||L|BOILERMAKERS...& HELPERS; INT'L BRTH'D|43460|ROSSFORD|OH
C00118869|TEAMSTERS LOCAL 623 POLITICAL ACTION FUND|U|Q|||L|TEAMSTERS; INT'L BROTHERHOOD OF|19137|PHILADELPHIA|PA
C00118919|SNACK FOOD ASSOCIATION POLITICAL ACTION COMMITTEE (SNACKPAC)|U|Q|||T|SNACK FOOD ASSOCIATION|22209|ARLINGTON|VA
C00118943|MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE|U|Q|||W|Massachusetts Mutual Life Insurance Co|01111|Springfield|MA
C00118950|TEXAS OSTEOPATHIC MEDICAL ASSOC. POLITICAL ACTION COMMITTEE|U|Q|||T|TEXAS OSTEOPATHIC MEDICAL ASSOCIATION|78701|AUSTIN|TX
C00119008|WASTE MANAGEMENT EMPLOYEES BETTER GOVERNMENT FUND|U|Q|||C|Waste Management|20004|Washington|DC
C00119040|BILLY TAUZIN CONGRESSIONAL COMMITTEE THE|P|H|REP|H0LA03018|||70361|Houma|LA
C00119321|NSTAR ADVOCATES OF A BETTER CONGRESS|U|Q|||C|NSTAR|02090|WESTWOOD|MA
C00119354|TENET HEALTHCARE CORPORATION PAC|U|Q|||C|Tenet Healthcare Corporation|75240|Dallas|TX
C00119388|ALLIED GRAPE GROWERS PAC|U|Q|||V|GRAPE GROWERS; ALLIED|93711|FRESNO|CA
C00119545|NATIONAL FEDERATION OF BUSINESS AND PROFESSIONAL WOMEN'S CLUBS INC POLITICAL ACTION CMTE|U|Q|||M|BUSINESS AND PROFESSIONAL WOMEN/USA|20006|WASHINGTON|DC
C00119701|COYNE FOR CONGRESS (WILLIAM J COYNE)|P|H|DEM|H0PA14039|||15222|PITTSBURGH|PA
C00119776|GEORGIA POWER COMPANY FEDERAL PAC INC|U|Q|||C|Southern Company Employees PAC|30308|Atlanta|GA
C00120006|MINNESOTA LIFE INSURANCE COMPANY PAC|U|Q|||C|MINNESOTA MUTUAL LIFE INSURANCE CO|55101|St Paul|MN
C00120030|SOCIETY OF INDEPENDENT GASOLINE MARKETERS OF AMERICA PAC|U|Q|||T|SIGMA (SOC/IND GASOLINE MRKTRS/AMER)|22030|Fairfax|VA
C00120055|MARYLAND REPUBLICAN STATE CENTRAL COMMITTEE|U|Y|Rep|||Steele - Maryland Victory 2006|21401|Annapolis|MD
C00120204|VOLLRATH COMPANY FEDERAL GOOD GOVERNMENT COMMITTEE; THE|U|Q|||C|VOLLRATH COMPANY|53082|SHEBOYGAN|WI
C00120238|AMERICAN MOTORCYCLIST POLITICAL ACTION COMMITTEE|U|Q|||M|American Motorcyclist Association|43147|PICKERINGTON|OH
C00120253|WAREHOUSE EMPLOYEES UNION LOCAL 169 POLITICAL ACTION COMMITTEE|U|Q|||L|TEAMSTERS; INT'L BROTHERHOOD OF|19027|ELKINS PAEK|PA
C00120519|RESPONSIBLE GOVERNMENT COMMITTEE OF GULF POWER COMPANY EMPLOYEES INC|B|Q|||C|SOUTHERN COMPANY EMPLOYEES PAC|32520|PENSACOLA|FL
C00120642|ENVIRONMENTAL INDUSTRY ASSOCIATIONS PAC (EIA WASTE PAC)|U|Q|||T|SOLID WASTES MNGMT ASS'N; NAT'L|20008|WASHINGTON|DC
C00120683|HALL FOR CONGRESS COMMITTEE (RALPH HALL - ROCKWALL, TEXAS)|P|H|REP|H0TX04037||VICTORY FUND FOR RALPH HALL / SAM JOHN|75087|ROCKWALL|TX
C00120873|J R SIMPLOT COMPANY POLITICAL ACTION COMMITTEE (SIM-PAC)|U|Q|||C|J R SIMPLOT COMPANY|83702|BOISE|ID
C00121277|KING RANCH INC POLITICAL ACTION COMMITTEE-FEDERAL|U|Q|||C|KING RANCH INC|77056|HOUSTON|TX
C00121319|THRIVENT FINANCIAL FOR LUTHERANS - EMPLOYEE POLITICAL ACTION COMMITTEE|U|Q|||W|LUTHERANS; AID ASS'N FOR|54912|Appleton|WI
C00121350|CIGAR-PAC OF THE CIGAR ASSOCIATION OF AMERICA, INC.|U|Q|||T|CIGAR ASS'N OF AMERICA|20006|Washington|DC
C00121368|EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC)|U|Q|||C|Exxon Mobil Corporation|20003|Washington|DC
C00121582|CALIFORNIA GRAPE|U|Q|||T|GRAPE & TREE FRUIT LEAGUE; CALIFORNIA|93711|FRESNO|CA
C00121673|IUOE LOCAL 463 PAC|U|Q|||L|ENGINEERS; INT'L UNION OF OPERATING|14131|RANSOMVILLE|NY
C00122101|SAFARI CLUB INTERNATIONAL PAC (SCI-PAC)|U|Q|||W|Safari Club International|85745|TUCSON|AZ
C00122176|FRIENDS OF DICK LUGAR INC|P|S|REP|S4IN00014|||46205|INDIANAPOLIS|IN
C00122499|AMERICAN ACADEMY OF PHYSICIAN ASSISTANTS POLITICAL ACTION COMMITTEE|U|Q|||T|PHYSICIAN ASSISTANTS; AMER ACADEMY OF|22314|ALEXANDRIA|VA
C00122671|PEPSI-COLA BOTTLERS ASSOCIATION-PAC|U|Q|||T|PEPSI-COLA BOTTLERS ASSOCIATION INC|76262|TROPHY CLUB|TX
C00122937|CONSUMER SPECIALTY PRODUCTS ASSOCIATION PAC|U|Q|IND||T|CHEMICAL SPECIALTIES MFRS ASS'N INC|20006|WASHINGTON|DC
C00123109|MORTON BUILDING INC POLITICAL ACTION COMMITTEE|U|Q|||C|MORTON BUILDINGS INC|61550|MORTON|IL
C00123158|NATIONAL TEXTILE ASSOCIATION MEMBER POLITICAL  ACTION COMMITTEE|U|Q|||T|National Textile Association|02108|Boston|MA
C00123513|FOREST CITY ENTERPRISES, INC. UNITED FOR A SENSIBLE GOVERNMENT (FOCUS)|U|Q|||C|Forest City Enterprises Inc.|44113|Cleveland|OH
C00123612|TEXTRON INC. POLITICAL ACTION COMMITTEE|U|Q|||C|Textron, Inc.|02903|PROVIDENCE|RI
C00123885|SIMMONS FIRST NATIONAL BANK POLITICAL ACTION COMMITTEE (SIMPAC) FEDERAL FUND|U|Q|||C|SIMMONS FIRST NATIONAL CORPORATION|71611|PINE BLUFF|AR
C00123950|HARLEYSVILLE GROUP INC POLITICAL ACTION COMMITTEE - FEDERAL (HIPAC-FED)|U|Q|||T|HARLEYSVILLE GROUP INC|19438|HARLEYSVILLE|PA
C00123976|NATIONWIDE MUTUAL INSURANCE COMPANY IOWA POLITICAL ACTION COMMITTEE|U|Q|||C|Nationwide|50391|Des Moines|IA
C00124016|HECLA MINING COMPANY/HECLA LIMITED POLITICAL ACTION COMMITTEE|U|Q|||C|HECLA LIMITED|83815|COEUR D'ALENE|ID
C00124040|RUFF POLITICAL ACTION COMMITTEE (RUFF-PAC)|U|Q|||M|NONE|22033|FAIRFAX|VA
C00125534|COMPOSITION ROOFERS LOCAL UNION #30 POLITICAL ACTION & EDUCATION FUND|U|Q|||L|ROOFERS WATERPROOFERS & ALLIED WORKERS|19135|PHILADELPHIA|PA
C00125641|INTEL CORPORATION POLITICAL ACTION COMMITTEE|U|Q|||C|Intel Corporation|20006|Washington|DC
