TARGET_ID|SRC_CITY|SRC_STATE|YEAR|COUNT|SUM|MEAN|STD
C00000042|BARRINGTON|IL|1984|1.0|1500.0|1500.0|0.0
C00000042|LAKE FOREST|IL|1983|1.0|1000.0|1000.0|0.0
C00000042|LAKE FOREST|IL|1984|1.0|1000.0|1000.0|0.0
C00000117|ALHAMBRA|CA|1983|1.0|750.0|750.0|0.0
C00000117|ALHAMBRA|CA|1984|1.0|750.0|750.0|0.0
C00000117|BOISE|ID|1983|1.0|500.0|500.0|0.0
C00000117|BOSTON|MA|1983|1.0|1500.0|1500.0|0.0
C00000117|CHICAGO|IL|1983|2.0|5500.0|2750.0|3181.9805153394636
C00000117|CHICAGO|IL|1984|1.0|5000.0|5000.0|0.0
C00000117|CLEVELAND|OH|1983|1.0|500.0|500.0|0.0
C00000117|COLMESNELL|TX|1983|2.0|1000.0|500.0|0.0
C00000117|DALLAS|TX|1984|1.0|500.0|500.0|0.0
C00000117|DULUTH|MN|1983|1.0|2000.0|2000.0|0.0
C00000117|DULUTH|MN|1984|1.0|1000.0|1000.0|0.0
C00000117|LAKE FOREST|IL|1984|1.0|500.0|500.0|0.0
C00000117|LOS ANGELES|CA|1984|1.0|500.0|500.0|0.0
C00000117|MIAMI|FL|1984|1.0|500.0|500.0|0.0
C00000117|NEW YORK|NY|1983|1.0|500.0|500.0|0.0
C00000117|NEW YORK|NY|1984|1.0|500.0|500.0|0.0
C00000117|NORMAN|OK|1984|1.0|1000.0|1000.0|0.0
C00000117|OKALHOMA CITY|OK|1984|1.0|500.0|500.0|0.0
C00000117|PITTSBURGH|PA|1983|2.0|1000.0|500.0|0.0
C00000117|PITTSBURGH|PA|1984|2.0|1000.0|500.0|0.0
C00000117|RENO|NV|1983|1.0|3000.0|3000.0|0.0
C00000117|ROBERT LEE|TX|1984|1.0|500.0|500.0|0.0
C00000117|SAN MARINO|CA|1984|1.0|1000.0|1000.0|0.0
C00000117|SOLON|OH|1983|1.0|1000.0|1000.0|0.0
C00000117|ST LOUIS|MO|1983|1.0|500.0|500.0|0.0
C00000117|TUCSON|AZ|1983|1.0|500.0|500.0|0.0
C00000117|TUCSON|AZ|1984|2.0|1000.0|500.0|0.0
C00000125|DALLAS|TX|1984|1.0|500.0|500.0|0.0
C00000125|HOUSTON|TX|1983|1.0|500.0|500.0|0.0
C00000125|HOUSTON|TX|1984|9.0|6500.0|722.2222222222223|263.523138347365
C00000125|KINGWOOD|TX|1984|1.0|500.0|500.0|0.0
C00000125|LAKE FOREST|IL|1984|1.0|500.0|500.0|0.0
C00000125|LOS ANGELES|CA|1984|1.0|1000.0|1000.0|0.0
C00000125|NEW YORK|NY|1984|1.0|1000.0|1000.0|0.0
C00000125|PHILADELPHIA|PA|1984|1.0|1000.0|1000.0|0.0
C00000125|SPRINGDALE|AZ|1984|1.0|500.0|500.0|0.0
C00000125|THE WOODLANDS|TX|1984|1.0|1000.0|1000.0|0.0
C00000141|AGANA|GU|1983|1.0|250.0|250.0|0.0
C00000182|ABBEVILLE|LA|1983|2.0|2000.0|1000.0|0.0
C00000182|ADELPHI|MD|1984|1.0|900.0|900.0|0.0
C00000182|ALBUQUERQUE|NM|1984|1.0|500.0|500.0|0.0
C00000182|ALEXANDRIA|VA|1983|3.0|2500.0|833.3333333333334|288.6751345948129
C00000182|ALEXANDRIA|VA|1984|3.0|2600.0|866.6666666666666|230.9401076758503
C00000182|ALICE|TX|1983|1.0|2000.0|2000.0|0.0
C00000182|AMORY|MS|1983|1.0|1000.0|1000.0|0.0
C00000182|ANNANDALE|VA|1983|2.0|1550.0|775.0|318.1980515339464
C00000182|ANNANDALE|VA|1984|1.0|550.0|550.0|0.0
C00000182|ANNAPOLIS|MD|1983|1.0|500.0|500.0|0.0
C00000182|ANNAPOLIS|MD|1984|1.0|1000.0|1000.0|0.0
C00000182|ARLINGTON|TX|1984|1.0|2000.0|2000.0|0.0
C00000182|ARLINGTON|VA|1983|6.0|6500.0|1083.3333333333333|491.59604012508754
C00000182|ARLINGTON|VA|1984|6.0|9500.0|1583.3333333333333|1685.724374465371
C00000182|ARVADA|CO|1984|1.0|1000.0|1000.0|0.0
C00000182|ATLANTA|GA|1983|2.0|3500.0|1750.0|1060.6601717798212
C00000182|ATLANTA|GA|1984|1.0|1000.0|1000.0|0.0
C00000182|AUSTIN|TX|1983|3.0|1500.0|500.0|0.0
C00000182|AUSTIN|TX|1984|2.0|1500.0|750.0|353.5533905932738
C00000182|BALA CYNWYD|PA|1983|1.0|1000.0|1000.0|0.0
C00000182|BALTIMORE|MD|1983|1.0|1000.0|1000.0|0.0
C00000182|BATON ROUGE|LA|1984|1.0|1000.0|1000.0|0.0
C00000182|BAY SHORE|NY|1983|1.0|500.0|500.0|0.0
C00000182|BEACHWOOD|OH|1983|1.0|1000.0|1000.0|0.0
C00000182|BEDFORD|TX|1983|1.0|1000.0|1000.0|0.0
C00000182|BELVEDERE|CA|1983|1.0|1000.0|1000.0|0.0
C00000182|BERWYN|PA|1984|1.0|1000.0|1000.0|0.0
C00000182|BETHESDA|MD|1983|13.0|25225.0|1940.3846153846155|1467.1236904490786
C00000182|BETHESDA|MD|1984|6.0|13000.0|2166.6666666666665|1556.4917817536545
C00000182|BEVERLY|MA|1983|1.0|1000.0|1000.0|0.0
C00000182|BEVERLY HILLS|CA|1983|4.0|12000.0|3000.0|2309.4010767585028
C00000182|BIRMINGHAM|AL|1983|1.0|1000.0|1000.0|0.0
C00000182|BIRMINGHAM|MI|1984|1.0|2000.0|2000.0|0.0
C00000182|BOISE|ID|1984|1.0|1000.0|1000.0|0.0
C00000182|BOONTON TOWNSHIP|NJ|1983|1.0|2000.0|2000.0|0.0
C00000182|BOWIE|TX|1983|3.0|2000.0|666.6666666666666|288.6751345948128
C00000182|BOYDS|MD|1984|1.0|500.0|500.0|0.0
C00000182|BOYNTON|FL|1983|1.0|2000.0|2000.0|0.0
C00000182|BREA|CA|1984|1.0|1000.0|1000.0|0.0
C00000182|BRISTOW|OK|1983|1.0|1000.0|1000.0|0.0
C00000182|BRISTOW|OK|1984|1.0|1000.0|1000.0|0.0
C00000182|BURBANK|CA|1983|1.0|1000.0|1000.0|0.0
C00000182|CANADIAN|TX|1983|2.0|1000.0|500.0|0.0
C00000182|CARLSBAD|NM|1983|1.0|700.0|700.0|0.0
C00000182|CASA GRANDE|AZ|1984|1.0|1000.0|1000.0|0.0
C00000182|CHARLESTON|WV|1983|2.0|2000.0|1000.0|0.0
C00000182|CHARLESTON|WV|1984|1.0|1000.0|1000.0|0.0
C00000182|CHEVY CHASE|MD|1983|3.0|4000.0|1333.3333333333333|577.3502691896258
C00000182|CHEVY CHASE|MD|1984|3.0|3200.0|1066.6666666666667|115.47005383792515
C00000182|CHICAGO|IL|1983|2.0|3000.0|1500.0|707.1067811865476
C00000182|CHICAGO|IL|1984|3.0|3000.0|1000.0|0.0
C00000182|CINCINNATI|OH|1983|1.0|1000.0|1000.0|0.0
C00000182|COCONUT GROVE|FL|1984|1.0|1000.0|1000.0|0.0
C00000182|COLUMBIA|MD|1984|1.0|1000.0|1000.0|0.0
C00000182|COLUMBIA|MS|1984|1.0|500.0|500.0|0.0
C00000182|COLUMBIA|SC|1983|1.0|1000.0|1000.0|0.0
C00000182|CORAL GABLES|FL|1983|1.0|500.0|500.0|0.0
C00000182|CORONADO|CA|1983|2.0|4000.0|2000.0|0.0
C00000182|CORPUS CHRISTI|TX|1984|2.0|2000.0|1000.0|0.0
C00000182|CORTE MADERA|CA|1984|1.0|1000.0|1000.0|0.0
C00000182|COVINA|CA|1983|1.0|1000.0|1000.0|0.0
C00000182|DALLAS|TX|1983|9.0|19000.0|2111.1111111111113|1536.590742882148
C00000182|DALLAS|TX|1984|8.0|13500.0|1687.5|1099.9188281738925
C00000182|DEARBORN|MI|1983|1.0|10000.0|10000.0|0.0
C00000182|DEKALB|MS|1983|1.0|500.0|500.0|0.0
C00000182|DENVER|CO|1983|2.0|2000.0|1000.0|0.0
C00000182|DENVER|CO|1984|1.0|500.0|500.0|0.0
C00000182|EL DORADO|AR|1984|1.0|2000.0|2000.0|0.0
C00000182|EL PASO|TX|1983|1.0|1000.0|1000.0|0.0
C00000182|EL PASO|TX|1984|2.0|2000.0|1000.0|0.0
C00000182|ELLENVILLE|NY|1983|1.0|2000.0|2000.0|0.0
C00000182|ELLENVILLE|NY|1984|2.0|4000.0|2000.0|0.0
C00000182|ENGLEWOOD|CO|1984|1.0|1000.0|1000.0|0.0
C00000182|FALLS CHURCH|VA|1983|3.0|4000.0|1333.3333333333333|577.3502691896258
C00000182|FALLS CHURCH|VA|1984|1.0|2000.0|2000.0|0.0
C00000182|FOREST HILLS|NY|1983|1.0|1000.0|1000.0|0.0
C00000182|FORT LEE|NJ|1983|1.0|500.0|500.0|0.0
C00000182|FORT WASHINGTON|MD|1983|1.0|500.0|500.0|0.0
C00000182|FORT WORTH|TX|1983|1.0|10000.0|10000.0|0.0
C00000182|FORT WORTH|TX|1984|3.0|16000.0|5333.333333333333|4509.249752822894
C00000182|FROSTPROOF|FL|1983|1.0|1000.0|1000.0|0.0
C00000182|GEORGETOWN|TX|1984|1.0|1000.0|1000.0|0.0
C00000182|GLENCOE|IL|1983|1.0|1000.0|1000.0|0.0
C00000182|GLENDALE|CA|1983|1.0|2000.0|2000.0|0.0
